epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2.11159,0.45398,1.93996,3.73345,1.03786,0,0.00747,0.85714,0.13658,0.0883,0.00747,0.85714,0.12468,0.08906,0.16781,0.35861,3.16582,0.81467,0,0.0027,0.0009,0.0027,0.0009,0.0027,0.0009,0.0027,0.0009
2,4.77333,0.39129,1.6467,3.60982,1.01975,0,0.03231,0.93571,0.18505,0.17911,0.03247,0.96429,0.18628,0.17964,0.12941,0.25627,3.16173,0.79856,0,0.00569887,0.00189962,0.00569887,0.00189962,0.00569887,0.00189962,0.00569887,0.00189962
3,6.96944,0.35065,1.13578,3.45162,0.97193,0,0.03021,1,0.29071,0.28765,0.03021,1,0.29071,0.28927,0.15013,0.37704,3.1224,0.79024,0,0.00869655,0.00289885,0.00869655,0.00289885,0.00869655,0.00289885,0.00869655,0.00289885
4,9.15418,0.39977,0.87298,3.28361,0.97888,0,0.01847,1,0.25095,0.24686,0.01847,1,0.25095,0.24827,0.18803,0.38592,3.01201,0.81667,0,0.0116931,0.00389768,0.0116931,0.00389768,0.0116931,0.00389768,0.0116931,0.00389768
5,11.3222,0.43124,0.87433,3.00497,0.98149,0,0.0073,1,0.33134,0.32577,0.0073,1,0.33134,0.32587,0.22436,0.28425,2.95335,0.83464,0,0.0146884,0.00489612,0.0146884,0.00489612,0.0146884,0.00489612,0.0146884,0.00489612
6,13.3283,0.47988,0.94246,2.62672,0.9709,0,0.006,1,0.39261,0.35968,0.006,1,0.39261,0.36033,0.32817,0.90775,2.85655,0.86016,0,0.0176825,0.00589416,0.0176825,0.00589416,0.0176825,0.00589416,0.0176825,0.00589416
7,15.3445,0.44068,1.00974,2.31813,0.96239,0,0.61748,0.26063,0.50778,0.48518,0.61748,0.26063,0.50778,0.5071,0.25372,0.21922,2.46088,0.84719,0,0.0206754,0.0068918,0.0206754,0.0068918,0.0206754,0.0068918,0.0206754,0.0068918
8,17.1853,0.47074,1.06829,2.23379,0.979,0,0.70604,0.55021,0.5468,0.54041,0.70604,0.55021,0.5468,0.52799,0.28423,0.83632,2.05626,0.89482,0,0.0236672,0.00788905,0.0236672,0.00788905,0.0236672,0.00788905,0.0236672,0.00788905
9,19.0337,0.5039,0.87121,2.12096,0.9937,0,0.42155,0.60168,0.51772,0.45798,0.42155,0.60168,0.51772,0.46053,0.405,1.24397,2.72803,0.95908,0,0.0266577,0.0088859,0.0266577,0.0088859,0.0266577,0.0088859,0.0266577,0.0088859
10,20.8842,0.47714,0.87768,2.00275,0.98217,0,0.37593,0.44643,0.45684,0.2993,0.37593,0.44643,0.43529,0.29541,0.93307,1.413,2.57319,1.35589,0,0.0296471,0.00988236,0.0296471,0.00988236,0.0296471,0.00988236,0.0296471,0.00988236
