epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2.12464,0.47893,1.87995,3.72566,1.05276,0,0.01797,0.95238,0.12875,0.09897,0.01797,0.95238,0.12499,0.1034,0.18296,0.35749,3.16617,0.82226,0,0.0027,0.0009,0.0027,0.0009,0.0027,0.0009,0.0027,0.0009
2,4.77424,0.38676,1.71078,3.60772,1.00372,0,0.03009,1,0.19729,0.18263,0.03009,1,0.19645,0.18973,0.14446,0.31069,3.16181,0.81061,0,0.00569887,0.00189962,0.00569887,0.00189962,0.00569887,0.00189962,0.00569887,0.00189962
3,6.93878,0.34105,1.09488,3.44901,0.95266,0,0.0238,1,0.25318,0.25037,0.0238,1,0.25318,0.25193,0.15658,0.44232,3.12377,0.80201,0,0.00869655,0.00289885,0.00869655,0.00289885,0.00869655,0.00289885,0.00869655,0.00289885
4,9.08974,0.37671,0.93025,3.25273,0.9621,0,0.01568,1,0.26136,0.26006,0.01568,1,0.26136,0.26136,0.17733,0.23898,2.98615,0.8007,0,0.0116931,0.00389768,0.0116931,0.00389768,0.0116931,0.00389768,0.0116931,0.00389768
5,11.2294,0.36381,0.88419,2.99459,0.95526,0,0.00669,1,0.35734,0.35431,0.00669,1,0.35734,0.35335,0.2096,0.37861,2.87974,0.81345,0,0.0146884,0.00489612,0.0146884,0.00489612,0.0146884,0.00489612,0.0146884,0.00489612
6,13.2425,0.42913,0.98339,2.61974,0.97779,0,0.00484,1,0.44739,0.43285,0.00484,1,0.44739,0.44029,0.23129,0.47933,2.56226,0.82912,0,0.0176825,0.00589416,0.0176825,0.00589416,0.0176825,0.00589416,0.0176825,0.00589416
7,15.2816,0.46417,1.00922,2.42574,0.97729,0,0.67082,0.21071,0.22138,0.2052,0.67582,0.21071,0.21593,0.18617,0.41341,2.77231,2.75343,0.98243,0,0.0206754,0.0068918,0.0206754,0.0068918,0.0206754,0.0068918,0.0206754,0.0068918
8,17.094,0.45825,1.08919,2.27263,0.98388,0,0.75175,0.15133,0.38462,0.35759,0.75175,0.15133,0.38462,0.37951,0.38848,0.74002,2.42041,0.92402,0,0.0236672,0.00788905,0.0236672,0.00788905,0.0236672,0.00788905,0.0236672,0.00788905
9,18.9336,0.54956,0.95298,2.16828,1.01648,0,0.54018,0.51548,0.55797,0.47251,0.54018,0.51548,0.55797,0.5318,0.39363,0.42836,2.2675,0.98707,0,0.0266577,0.0088859,0.0266577,0.0088859,0.0266577,0.0088859,0.0266577,0.0088859
10,20.8056,0.5469,1.00392,2.09922,0.97917,0,0.42824,0.54314,0.55316,0.49324,0.41755,0.50742,0.49913,0.40166,0.47612,2.08107,2.19838,1.03395,0,0.0296471,0.00988236,0.0296471,0.00988236,0.0296471,0.00988236,0.0296471,0.00988236
11,22.4783,0.62219,0.9739,2.0252,1.02352,0,0.38353,0.55526,0.47745,0.40258,0.38353,0.55526,0.47745,0.39794,0.57748,0.80311,2.16616,1.06302,0,0.0299406,0.0099802,0.0299406,0.0099802,0.0299406,0.0099802,0.0299406,0.0099802
12,24.3229,0.53604,0.9987,1.92095,0.99481,0,0.32322,0.84377,0.44529,0.40181,0.32322,0.84377,0.44529,0.4116,0.48626,0.81373,2.88342,0.97532,0,0.0299347,0.00997822,0.0299347,0.00997822,0.0299347,0.00997822,0.0299347,0.00997822
13,26.0195,0.55244,0.92339,1.91002,0.97942,0,0.3434,0.52619,0.46147,0.40971,0.3434,0.52619,0.46147,0.43345,0.46304,1.47135,2.92776,0.97495,0,0.0299287,0.00997624,0.0299287,0.00997624,0.0299287,0.00997624,0.0299287,0.00997624
14,27.8613,0.60839,0.92688,1.71638,1.00913,0,0.47991,0.71597,0.72716,0.62329,0.47991,0.71597,0.72716,0.67555,0.52446,0.69323,3.01446,1.03162,0,0.0299228,0.00997426,0.0299228,0.00997426,0.0299228,0.00997426,0.0299228,0.00997426
15,29.5528,0.53679,0.93724,1.73289,1.02955,0,0.48591,0.8,0.64888,0.54521,0.48591,0.8,0.64293,0.53852,0.49661,1.40772,2.59906,0.99063,0,0.0299168,0.00997228,0.0299168,0.00997228,0.0299168,0.00997228,0.0299168,0.00997228
16,31.3882,0.52854,1.16996,1.68252,0.99949,0,0.24714,0.4,0.33377,0.27946,0.24714,0.4,0.33797,0.29495,0.55621,1.1853,3.3817,1.12176,0,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
17,33.181,0.5544,1.24101,1.78142,1.02597,0,0.87641,0.23094,0.24609,0.19489,0.87641,0.23094,0.24553,0.15903,1.0722,2.38319,4.56319,1.74657,0,0.029905,0.00996832,0.029905,0.00996832,0.029905,0.00996832,0.029905,0.00996832
18,35.0357,0.57427,1.28491,1.82303,1.03919,0,0.5365,0.34289,0.3,0.24987,0.30948,0.51786,0.29298,0.20364,0.7723,2.46438,3.98505,1.23625,0,0.029899,0.00996634,0.029899,0.00996634,0.029899,0.00996634,0.029899,0.00996634
19,36.7106,0.54704,1.24371,1.82122,1.01767,0,0.64003,0.41071,0.54425,0.42241,0.64377,0.45833,0.54339,0.38865,0.7572,1.97682,7.1328,1.36209,0,0.0298931,0.00996436,0.0298931,0.00996436,0.0298931,0.00996436,0.0298931,0.00996436
20,38.5571,0.64243,1.01328,1.7158,1.03013,0,0.44631,0.4381,0.4534,0.30935,0.45968,0.52143,0.45617,0.39776,0.84436,1.61339,5.29411,1.91429,0,0.0298871,0.00996238,0.0298871,0.00996238,0.0298871,0.00996238,0.0298871,0.00996238
21,40.2299,0.56232,0.96663,1.63021,1.00375,0,0.39721,0.41871,0.34014,0.24963,0.40052,0.41605,0.38551,0.33712,0.96016,1.86448,6.64046,1.82651,0,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
22,42.0797,0.58889,0.92303,1.47419,1.00073,0,0.53423,0.75426,0.72173,0.4594,0.53423,0.75426,0.7014,0.54184,0.97945,2.30943,2.98178,1.4695,0,0.0298753,0.00995842,0.0298753,0.00995842,0.0298753,0.00995842,0.0298753,0.00995842
23,43.7557,0.55472,1.05123,1.53886,1.00787,0,0.51448,0.56046,0.45084,0.26031,0.51259,0.55391,0.43593,0.35819,1.43726,4.26888,2.68111,2.05131,0,0.0298693,0.00995644,0.0298693,0.00995644,0.0298693,0.00995644,0.0298693,0.00995644
