epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2.21639,0.50893,1.84887,3.76401,1.02034,0,0.01568,0.80476,0.10806,0.10362,0.01575,0.82262,0.10855,0.10494,0.28393,0.55024,3.24071,0.81543,0,0.0027,0.0009,0.0027,0.0009,0.0027,0.0009,0.0027,0.0009
2,4.83382,0.46409,1.85513,3.61889,0.97257,0,0.01727,0.83333,0.20135,0.19819,0.01737,0.85119,0.19997,0.19915,0.25762,0.63367,3.23689,0.82671,0,0.00569887,0.00189962,0.00569887,0.00189962,0.00569887,0.00189962,0.00569887,0.00189962
3,6.99112,0.42636,1.39508,3.48946,0.94596,0,0.02796,0.89881,0.19474,0.19399,0.02796,0.89881,0.19606,0.19443,0.2388,0.48168,3.20619,0.78942,0,0.00869655,0.00289885,0.00869655,0.00289885,0.00869655,0.00289885,0.00869655,0.00289885
4,9.13282,0.44376,1.02764,3.25019,0.96117,0,0.0273,0.93452,0.1934,0.18663,0.02811,0.95238,0.19438,0.19351,0.37239,0.38803,3.03993,0.80478,0,0.0116931,0.00389768,0.0116931,0.00389768,0.0116931,0.00389768,0.0116931,0.00389768
5,11.2616,0.55584,1.11991,3.00136,0.99544,0,0.0233,0.93452,0.25328,0.24469,0.0233,0.93452,0.25328,0.24112,0.36276,0.62312,2.92252,0.81457,0,0.0146884,0.00489612,0.0146884,0.00489612,0.0146884,0.00489612,0.0146884,0.00489612
6,13.2577,0.50516,1.24017,2.73979,0.96954,0,0.25815,0.43403,0.37754,0.36869,0.25815,0.43403,0.38039,0.36816,0.39362,1.04744,2.73772,0.80783,0,0.0176825,0.00589416,0.0176825,0.00589416,0.0176825,0.00589416,0.0176825,0.00589416
7,15.2761,0.50158,1.20151,2.4109,0.92369,0,0.77495,0.18911,0.37257,0.36133,0.76871,0.18105,0.36155,0.34321,0.45567,1.10836,2.51832,0.85611,0,0.0206754,0.0068918,0.0206754,0.0068918,0.0206754,0.0068918,0.0206754,0.0068918
8,17.1218,0.55032,1.22676,2.3236,0.94863,0,0.73032,0.26545,0.32043,0.29542,0.73032,0.26545,0.32142,0.30712,0.4844,0.81164,2.5879,0.87417,0,0.0236672,0.00788905,0.0236672,0.00788905,0.0236672,0.00788905,0.0236672,0.00788905
9,18.9561,0.57868,1.24001,2.26848,0.9818,0,0.63261,0.07143,0.28421,0.25475,0.63261,0.07143,0.28461,0.24224,0.59005,1.4849,2.99972,0.98114,0,0.0266577,0.0088859,0.0266577,0.0088859,0.0266577,0.0088859,0.0266577,0.0088859
10,20.8074,0.63025,1.22631,2.12704,0.98577,0,0.54594,0.50461,0.51251,0.44914,0.54594,0.50461,0.51181,0.47509,0.6171,1.2118,2.24719,0.93573,0,0.0296471,0.00988236,0.0296471,0.00988236,0.0296471,0.00988236,0.0296471,0.00988236
11,22.507,0.64285,0.83794,2.03623,0.97533,0,0.6306,0.194,0.24594,0.21274,0.6306,0.194,0.24481,0.2054,0.82036,2.59839,2.91179,1.20158,0,0.0299406,0.0099802,0.0299406,0.0099802,0.0299406,0.0099802,0.0299406,0.0099802
12,24.3675,0.6602,1.45373,2.00284,0.99751,0,0.53292,0.45833,0.4681,0.39699,0.53292,0.45833,0.4443,0.30286,0.65252,4.5396,2.17595,1.06415,0,0.0299347,0.00997822,0.0299347,0.00997822,0.0299347,0.00997822,0.0299347,0.00997822
13,26.1085,0.62436,1.16271,1.92627,0.96974,0,0.37872,0.59542,0.45512,0.38996,0.37872,0.59542,0.45881,0.40924,0.60739,1.05255,2.31482,0.94186,0,0.0299287,0.00997624,0.0299287,0.00997624,0.0299287,0.00997624,0.0299287,0.00997624
14,27.9554,0.69257,1.13173,1.8148,0.9891,0,0.39943,0.3619,0.32884,0.29439,0.39943,0.3619,0.33101,0.31218,0.64583,0.77155,2.74943,0.99214,0,0.0299228,0.00997426,0.0299228,0.00997426,0.0299228,0.00997426,0.0299228,0.00997426
