epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,20.6383,0.51795,1.64236,3.73743,0.98377,0,0.00929,0.75119,0.15541,0.15216,0.00928,0.74524,0.15519,0.15333,0.25727,0.52977,3.23538,0.80297,0,0.0027,0.0009,0.0027,0.0009,0.0027,0.0009,0.0027,0.0009
2,23.1514,0.46425,1.91791,3.61726,0.96664,0,0.02148,0.77381,0.1311,0.12635,0.02168,0.80357,0.13487,0.12851,0.19736,0.46761,3.21614,0.78993,0,0.00569887,0.00189962,0.00569887,0.00189962,0.00569887,0.00189962,0.00569887,0.00189962
3,25.3129,0.40266,1.33048,3.44544,0.93725,0,0.01491,0.8631,0.22439,0.22265,0.01491,0.8631,0.22754,0.22189,0.24715,0.5936,3.19913,0.79564,0,0.00869655,0.00289885,0.00869655,0.00289885,0.00869655,0.00289885,0.00869655,0.00289885
4,27.4767,0.43461,1.01893,3.22726,0.94338,0,0.01568,0.92262,0.23523,0.21964,0.01572,0.93452,0.23394,0.20534,0.33131,1.5149,3.08859,0.82807,0,0.0116931,0.00389768,0.0116931,0.00389768,0.0116931,0.00389768,0.0116931,0.00389768
5,29.628,0.51374,1.09576,2.99452,0.96167,0,0.01215,0.93452,0.22906,0.22289,0.01215,0.93452,0.22988,0.22841,0.4244,0.55392,2.86052,0.82114,0,0.0146884,0.00489612,0.0146884,0.00489612,0.0146884,0.00489612,0.0146884,0.00489612
6,31.6477,0.52958,1.30416,2.6596,0.91958,0,0.13411,0.72033,0.30837,0.30121,0.13411,0.72033,0.3084,0.2957,0.38319,1.30129,2.71731,0.83986,0,0.0176825,0.00589416,0.0176825,0.00589416,0.0176825,0.00589416,0.0176825,0.00589416
7,33.5056,0.56632,1.23175,2.34525,0.9523,0,0.8851,0.17381,0.31294,0.2902,0.8851,0.17381,0.31273,0.29422,0.52215,1.22548,2.60135,0.86919,0,0.0206754,0.0068918,0.0206754,0.0068918,0.0206754,0.0068918,0.0206754,0.0068918
8,35.3507,0.55207,1.22849,2.24086,0.94676,0,0.78424,0.1541,0.35794,0.34921,0.78424,0.1541,0.35538,0.34951,0.43491,1.16676,2.5517,0.87085,0,0.0236672,0.00788905,0.0236672,0.00788905,0.0236672,0.00788905,0.0236672,0.00788905
9,37.3395,0.5856,1.06154,2.11381,0.93352,0,0.76767,0.22975,0.41084,0.3535,0.76767,0.22975,0.41327,0.36976,0.72338,2.14267,2.71017,1.07129,0,0.0266577,0.0088859,0.0266577,0.0088859,0.0266577,0.0088859,0.0266577,0.0088859
10,39.2089,0.64031,1.19129,2.02869,0.9642,0,0.67121,0.51455,0.49465,0.46691,0.67121,0.51455,0.49565,0.4842,0.48304,0.61305,1.98655,0.884,0,0.0296471,0.00988236,0.0296471,0.00988236,0.0296471,0.00988236,0.0296471,0.00988236
11,40.9084,0.65771,0.81191,1.94005,0.95069,0,0.92952,0.33482,0.55213,0.49745,0.92952,0.33482,0.55302,0.54001,0.57657,0.65613,1.91333,0.89132,0,0.0299406,0.0099802,0.0299406,0.0099802,0.0299406,0.0099802,0.0299406,0.0099802
12,43.0723,0.68138,1.25671,1.79591,0.97043,0,0.43917,0.5092,0.49794,0.46005,0.43917,0.5092,0.49857,0.46877,0.4721,1.14838,2.36862,0.8797,0,0.0299347,0.00997822,0.0299347,0.00997822,0.0299347,0.00997822,0.0299347,0.00997822
13,44.7624,0.64622,1.1584,1.85037,0.9628,0,0.44673,0.3335,0.35348,0.30798,0.41648,0.27483,0.25671,0.19816,0.56467,2.78855,3.40674,0.93162,0,0.0299287,0.00997624,0.0299287,0.00997624,0.0299287,0.00997624,0.0299287,0.00997624
14,46.6117,0.62871,1.26123,1.66841,0.94505,0,0.7334,0.3381,0.40756,0.33245,0.71304,0.25476,0.33024,0.26205,0.66887,3.18767,4.04506,0.98538,0,0.0299228,0.00997426,0.0299228,0.00997426,0.0299228,0.00997426,0.0299228,0.00997426
15,48.2941,0.65886,1.02539,1.66713,0.96467,0,0.30593,0.34405,0.21655,0.16092,0.3635,0.24881,0.18949,0.13802,0.78214,2.5343,4.92372,1.0594,0,0.0299168,0.00997228,0.0299168,0.00997228,0.0299168,0.00997228,0.0299168,0.00997228
16,50.1288,0.60037,1.2661,1.62615,0.95673,0,0.70305,0.2,0.25693,0.22749,0.70305,0.2,0.24953,0.16172,0.7476,3.078,3.70206,1.1452,0,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
17,51.9187,0.56693,1.15549,1.61973,0.95136,0,0.68009,0.46501,0.4382,0.37796,0.65973,0.4412,0.42907,0.38297,0.62225,1.85954,4.15287,1.01602,0,0.029905,0.00996832,0.029905,0.00996832,0.029905,0.00996832,0.029905,0.00996832
18,53.771,0.72393,1.1788,1.65307,0.98144,0,0.59891,0.48929,0.46558,0.41552,0.55599,0.40595,0.33014,0.24819,0.48767,3.86648,2.59041,0.89471,0,0.029899,0.00996634,0.029899,0.00996634,0.029899,0.00996634,0.029899,0.00996634
19,55.4568,0.59829,1.14776,1.47005,0.94967,0,0.54296,0.78448,0.72773,0.65018,0.54296,0.78448,0.72773,0.64081,0.54443,1.77393,1.76866,0.95008,0,0.0298931,0.00996436,0.0298931,0.00996436,0.0298931,0.00996436,0.0298931,0.00996436
20,57.3078,0.58838,1.08851,1.44528,0.94846,0,0.49992,0.43231,0.38748,0.35002,0.49992,0.43231,0.38821,0.37195,0.52135,0.81647,2.4467,0.92103,0,0.0298871,0.00996238,0.0298871,0.00996238,0.0298871,0.00996238,0.0298871,0.00996238
21,58.9827,0.62228,1.13859,1.51108,0.94514,0,0.56671,0.66618,0.58891,0.53114,0.55793,0.61856,0.50661,0.44043,0.54724,2.59204,2.83258,0.98965,0,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
22,60.83,0.56104,0.96135,1.45713,0.94055,0,0.68914,0.44828,0.55551,0.51853,0.69909,0.43154,0.53844,0.51485,0.56974,1.83872,1.68098,0.9302,0,0.0298753,0.00995842,0.0298753,0.00995842,0.0298753,0.00995842,0.0298753,0.00995842
23,62.4998,0.62638,1.33284,1.5536,0.96859,0,0.50037,0.54557,0.5155,0.4699,0.47778,0.51008,0.47615,0.42984,0.48063,1.49339,3.235,0.92227,0,0.0298693,0.00995644,0.0298693,0.00995644,0.0298693,0.00995644,0.0298693,0.00995644
24,64.326,0.5907,1.13154,1.61134,0.9821,0,0.45608,0.7788,0.56874,0.47644,0.45608,0.7788,0.56896,0.4986,0.6676,1.18533,1.99724,0.97504,0,0.0298634,0.00995446,0.0298634,0.00995446,0.0298634,0.00995446,0.0298634,0.00995446
25,66.0036,0.62928,1.07264,1.42441,0.96327,0,0.67063,0.56297,0.68032,0.60064,0.51281,0.61944,0.67367,0.63229,0.50151,1.1331,1.75096,0.90198,0,0.0298574,0.00995248,0.0298574,0.00995248,0.0298574,0.00995248,0.0298574,0.00995248
26,67.9384,0.56558,0.90842,1.38927,0.94345,0,0.58014,0.52448,0.5318,0.48475,0.53692,0.47788,0.47411,0.45406,0.56804,1.01244,1.98723,0.92007,0,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505
27,69.6163,0.5868,1.41318,1.48012,0.95053,0,0.70486,0.37043,0.39849,0.35591,0.68396,0.34561,0.33526,0.31146,0.46228,1.35323,2.0774,0.90972,0,0.0298456,0.00994852,0.0298456,0.00994852,0.0298456,0.00994852,0.0298456,0.00994852
28,71.4581,0.63751,1.13157,1.33011,0.97565,0,0.45345,0.75786,0.67632,0.63684,0.44619,0.74624,0.66454,0.63198,0.48573,1.11654,2.00435,0.90503,0,0.0298396,0.00994654,0.0298396,0.00994654,0.0298396,0.00994654,0.0298396,0.00994654
29,73.1407,0.59167,0.87781,1.25081,0.97512,0,0.51211,0.80255,0.70867,0.64878,0.51211,0.80255,0.70864,0.67582,0.48817,0.72521,1.8551,0.87484,0,0.0298337,0.00994456,0.0298337,0.00994456,0.0298337,0.00994456,0.0298337,0.00994456
30,74.9934,0.63254,0.93324,1.19398,0.95172,0,0.71663,0.75844,0.78141,0.72811,0.71663,0.75844,0.7873,0.75192,0.46053,0.83435,1.4366,0.90235,0,0.0298277,0.00994258,0.0298277,0.00994258,0.0298277,0.00994258,0.0298277,0.00994258
31,76.6733,0.60174,0.89574,1.27342,0.95372,0,0.53573,0.64285,0.69849,0.65372,0.53573,0.64285,0.69826,0.67441,0.44888,0.65094,1.63581,0.89571,0,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
32,78.5104,0.57713,1.01943,1.19321,0.94656,0,0.75559,0.64426,0.72976,0.67256,0.75559,0.64426,0.72948,0.70469,0.42989,0.72953,1.54018,0.85067,0,0.0298159,0.00993862,0.0298159,0.00993862,0.0298159,0.00993862,0.0298159,0.00993862
33,80.1863,0.61333,1.02348,1.21865,0.95107,0,0.68233,0.72011,0.74846,0.65887,0.68233,0.72011,0.75012,0.73104,0.52081,0.83182,1.58325,0.90366,0,0.0298099,0.00993664,0.0298099,0.00993664,0.0298099,0.00993664,0.0298099,0.00993664
34,82.1355,0.58396,1.00735,1.11626,0.93759,0,0.75366,0.77112,0.82063,0.76486,0.75366,0.77112,0.82176,0.80956,0.43407,0.69039,1.04611,0.86183,0,0.029804,0.00993466,0.029804,0.00993466,0.029804,0.00993466,0.029804,0.00993466
35,83.8116,0.58765,0.88787,1.05338,0.95052,0,0.61324,0.74068,0.71717,0.63281,0.61324,0.74068,0.72095,0.69878,0.53207,0.68333,1.26365,0.86692,0,0.029798,0.00993268,0.029798,0.00993268,0.029798,0.00993268,0.029798,0.00993268
36,85.6386,0.62776,0.85046,1.02229,0.95534,0,0.77579,0.58587,0.70699,0.65459,0.6891,0.6707,0.69214,0.67655,0.52863,0.93055,1.52188,0.90473,0,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307
