epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,21.5829,0.53183,1.24408,3.93126,0.97645,0,0.01388,0.54847,0.09558,0.0853,0.01573,0.62415,0.09959,0.08257,0.44978,0.80461,3.49131,0.88283,0,0.00019089,6.363e-05,0.00019089,6.363e-05,0.00019089,6.363e-05,0.00019089,6.363e-05
2,24.2851,0.50301,1.16832,3.83391,0.96052,0,0.02702,0.61054,0.09682,0.09257,0.02703,0.6284,0.09858,0.09535,0.42073,0.78384,3.46665,0.87889,0,0.000408969,0.000136323,0.000408969,0.000136323,0.000408969,0.000136323,0.000408969,0.000136323
3,25.9077,0.44818,0.96922,3.79122,0.93186,0,0.02633,0.59524,0.10548,0.10127,0.02619,0.59269,0.10648,0.10345,0.40297,0.7531,3.44029,0.86956,0,0.000626962,0.000208987,0.000626962,0.000208987,0.000626962,0.000208987,0.000626962,0.000208987
4,27.6794,0.42532,0.85592,3.76359,0.91602,0,0.03088,0.66752,0.14169,0.13455,0.0307,0.64711,0.14063,0.13835,0.38335,0.69135,3.4196,0.86146,0,0.000844868,0.000281623,0.000844868,0.000281623,0.000844868,0.000281623,0.000844868,0.000281623
5,29.4447,0.38971,0.71121,3.68571,0.89687,0,0.03206,0.72874,0.16417,0.15011,0.03444,0.73554,0.16343,0.15207,0.38109,0.62769,3.40122,0.85589,0,0.00106269,0.000354229,0.00106269,0.000354229,0.00106269,0.000354229,0.00106269,0.000354229
6,31.209,0.37776,0.67302,3.58788,0.88609,0,0.02817,0.75595,0.20004,0.18248,0.03007,0.78061,0.20501,0.19056,0.38411,0.55639,3.3774,0.85677,0,0.00128042,0.000426807,0.00128042,0.000426807,0.00128042,0.000426807,0.00128042,0.000426807
7,32.8322,0.38822,0.68307,3.53455,0.8607,0,0.02553,0.79649,0.22852,0.19929,0.02674,0.80329,0.22941,0.20436,0.38377,0.5438,3.35004,0.85467,0,0.00149807,0.000499356,0.00149807,0.000499356,0.00149807,0.000499356,0.00149807,0.000499356
8,34.449,0.3865,0.6209,3.37636,0.86819,0,0.02237,0.81236,0.24652,0.20887,0.02336,0.81916,0.24787,0.21406,0.37169,0.52266,3.31932,0.85176,0,0.00171563,0.000571876,0.00171563,0.000571876,0.00171563,0.000571876,0.00171563,0.000571876
9,36.0802,0.37591,0.7229,3.32081,0.88202,0,0.01813,0.85969,0.23005,0.21295,0.01813,0.85969,0.23003,0.21455,0.38225,0.51426,3.27203,0.85471,0,0.0019331,0.000644368,0.0019331,0.000644368,0.0019331,0.000644368,0.0019331,0.000644368
10,37.5439,0.40086,0.59334,3.17198,0.87259,0,0.01692,0.87557,0.23207,0.21684,0.01692,0.87557,0.23263,0.2179,0.38549,0.50186,3.20489,0.85244,0,0.00215049,0.00071683,0.00215049,0.00071683,0.00215049,0.00071683,0.00215049,0.00071683
11,39.1748,0.37635,0.53221,2.99082,0.86714,0,0.01452,0.87557,0.34116,0.31708,0.01452,0.87557,0.34191,0.32277,0.41178,0.48823,3.01588,0.85161,0,0.00236779,0.000789264,0.00236779,0.000789264,0.00236779,0.000789264,0.00236779,0.000789264
12,40.6362,0.39267,0.59369,2.95999,0.88053,0,0.75823,0.12886,0.36206,0.3394,0.75823,0.12886,0.36232,0.34137,0.45006,0.49478,2.79167,0.86547,0,0.00258501,0.000861669,0.00258501,0.000861669,0.00258501,0.000861669,0.00258501,0.000861669
13,42.0944,0.39429,0.67452,2.69802,0.86753,0,0.56368,0.31449,0.38732,0.36508,0.56368,0.31449,0.38842,0.37462,0.46964,0.50838,2.51628,0.88138,0,0.00272052,0.00090684,0.00272052,0.00090684,0.00272052,0.00090684,0.00272052,0.00090684
14,43.5691,0.42708,0.60474,2.55585,0.88776,0,0.49695,0.41566,0.4145,0.393,0.49695,0.41566,0.41549,0.39691,0.48207,0.51698,2.26527,0.88623,0,0.00271998,0.00090666,0.00271998,0.00090666,0.00271998,0.00090666,0.00271998,0.00090666
15,45.0395,0.36988,0.60219,2.33143,0.87315,0,0.50306,0.48196,0.44079,0.41896,0.50306,0.48196,0.44158,0.42626,0.50511,0.56323,2.07524,0.90095,0,0.00271944,0.00090648,0.00271944,0.00090648,0.00271944,0.00090648,0.00271944,0.00090648
16,46.4943,0.39687,0.53156,2.32019,0.87196,0,0.53674,0.4674,0.47909,0.45046,0.53674,0.4674,0.47982,0.46096,0.48899,0.54018,1.88262,0.87905,0,0.0027189,0.0009063,0.0027189,0.0009063,0.0027189,0.0009063,0.0027189,0.0009063
17,47.9731,0.36934,0.50017,2.14435,0.86713,0,0.68197,0.47212,0.52085,0.49408,0.68197,0.47212,0.52165,0.50595,0.45996,0.52402,1.69819,0.87242,0,0.00271836,0.00090612,0.00271836,0.00090612,0.00271836,0.00090612,0.00271836,0.00090612
18,49.4461,0.37877,0.49904,2.06982,0.87345,0,0.61657,0.49688,0.54584,0.51268,0.61657,0.49688,0.54751,0.52302,0.43571,0.51602,1.55981,0.86695,0,0.00271782,0.00090594,0.00271782,0.00090594,0.00271782,0.00090594,0.00271782,0.00090594
19,50.9138,0.40392,0.52009,1.95378,0.8873,0,0.68063,0.48907,0.61563,0.58064,0.68063,0.48907,0.61751,0.58666,0.42244,0.51844,1.4876,0.85265,0,0.00271728,0.00090576,0.00271728,0.00090576,0.00271728,0.00090576,0.00271728,0.00090576
20,52.3941,0.39026,0.41552,1.9307,0.87679,0,0.6878,0.53025,0.68173,0.64003,0.6878,0.53025,0.68276,0.62074,0.42557,0.54055,1.40901,0.85333,0,0.00271674,0.00090558,0.00271674,0.00090558,0.00271674,0.00090558,0.00271674,0.00090558
21,53.8754,0.39185,0.47828,1.78683,0.8705,0,0.70379,0.54949,0.7114,0.65398,0.70379,0.54949,0.71279,0.64542,0.43907,0.50449,1.31179,0.86634,0,0.0027162,0.0009054,0.0027162,0.0009054,0.0027162,0.0009054,0.0027162,0.0009054
22,55.3462,0.36185,0.45926,1.68539,0.87885,0,0.71112,0.6638,0.7637,0.70942,0.71112,0.6638,0.76501,0.69901,0.45985,0.50105,1.2034,0.88633,0,0.00271566,0.00090522,0.00271566,0.00090522,0.00271566,0.00090522,0.00271566,0.00090522
23,56.8115,0.35991,0.39956,1.60411,0.86088,0,0.78892,0.65538,0.78105,0.72695,0.78892,0.65538,0.78248,0.7088,0.47207,0.50547,1.16639,0.89049,0,0.00271512,0.00090504,0.00271512,0.00090504,0.00271512,0.00090504,0.00271512,0.00090504
24,58.27,0.35029,0.6058,1.51115,0.85434,0,0.77172,0.6193,0.79273,0.73436,0.77172,0.6193,0.79392,0.7214,0.48094,0.50374,1.11606,0.89513,0,0.00271458,0.00090486,0.00271458,0.00090486,0.00271458,0.00090486,0.00271458,0.00090486
