epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1.4141,0.4883,1.17099,3.78022,0.96958,0,0.01234,0.63695,0.11509,0.10558,0.01506,0.64944,0.11818,0.10658,0.46516,0.82352,3.49848,0.89647,0,0.00013635,4.545e-05,0.00013635,4.545e-05,0.00013635,4.545e-05,0.00013635,4.545e-05
2,3.02679,0.47489,1.73609,3.79706,0.96231,0,0.02324,0.62688,0.09257,0.08404,0.02313,0.62433,0.09457,0.08636,0.45303,0.81952,3.50172,0.89672,0,0.000299911,9.99702e-05,0.000299911,9.99702e-05,0.000299911,9.99702e-05,0.000299911,9.99702e-05
3,4.74377,0.47838,1.38813,3.77066,0.97407,0,0.03252,0.62688,0.10349,0.09713,0.0324,0.62433,0.10417,0.10135,0.42834,0.78806,3.4875,0.89117,0,0.000463406,0.000154469,0.000463406,0.000154469,0.000463406,0.000154469,0.000463406,0.000154469
4,6.14987,0.45033,1.16876,3.70412,0.94886,0,0.0318,0.61936,0.10334,0.09814,0.03168,0.61681,0.10321,0.10151,0.4124,0.74875,3.4815,0.88941,0,0.000626837,0.000208946,0.000626837,0.000208946,0.000626837,0.000208946,0.000626837,0.000208946
5,7.55855,0.38579,1.13749,3.7153,0.91368,0,0.02957,0.67803,0.11699,0.11097,0.03323,0.68555,0.11916,0.11637,0.39219,0.71257,3.46932,0.88571,0,0.000790204,0.000263401,0.000790204,0.000263401,0.000790204,0.000263401,0.000790204,0.000263401
6,8.97516,0.41789,0.97585,3.73363,0.91763,0,0.02872,0.6677,0.12608,0.11923,0.03542,0.70059,0.13277,0.12685,0.38814,0.68967,3.44788,0.8848,0,0.000953505,0.000317835,0.000953505,0.000317835,0.000953505,0.000317835,0.000953505,0.000317835
7,10.378,0.34868,0.64487,3.6128,0.8971,0,0.02644,0.721,0.15427,0.14308,0.02886,0.72852,0.1584,0.14975,0.3795,0.63988,3.43013,0.87376,0,0.00111674,0.000372247,0.00111674,0.000372247,0.00111674,0.000372247,0.00111674,0.000372247
8,11.7895,0.37024,1.30273,3.59474,0.89343,0,0.02486,0.73859,0.17528,0.1614,0.02673,0.76396,0.18972,0.16507,0.36667,0.59454,3.4034,0.86662,0,0.00127991,0.000426638,0.00127991,0.000426638,0.00127991,0.000426638,0.00127991,0.000426638
9,13.206,0.32722,0.82591,3.5268,0.88223,0,0.02187,0.78437,0.20904,0.18184,0.02187,0.78437,0.21226,0.1881,0.37991,0.57751,3.38553,0.87173,0,0.00144302,0.000481007,0.00144302,0.000481007,0.00144302,0.000481007,0.00144302,0.000481007
10,14.592,0.36767,0.96831,3.45755,0.90597,0,0.02123,0.79941,0.20049,0.18471,0.02238,0.80693,0.20316,0.18783,0.38887,0.58676,3.36346,0.87687,0,0.00160606,0.000535354,0.00160606,0.000535354,0.00160606,0.000535354,0.00160606,0.000535354
11,15.8542,0.3552,0.76888,3.40476,0.90258,0,0.01927,0.83512,0.22542,0.20915,0.01975,0.85298,0.22806,0.20731,0.38056,0.58909,3.33782,0.87539,0,0.00176904,0.00058968,0.00176904,0.00058968,0.00176904,0.00058968,0.00176904,0.00058968
12,17.1029,0.36259,0.56349,3.33002,0.87153,0,0.01651,0.83512,0.20762,0.19128,0.01768,0.8605,0.20853,0.19334,0.39059,0.58933,3.30895,0.873,0,0.00193195,0.000643984,0.00193195,0.000643984,0.00193195,0.000643984,0.00193195,0.000643984
13,18.3584,0.32075,0.6352,3.2454,0.88222,0,0.01646,0.85016,0.20819,0.1962,0.01751,0.87554,0.20917,0.1977,0.39792,0.59163,3.26067,0.87194,0,0.0020948,0.000698267,0.0020948,0.000698267,0.0020948,0.000698267,0.0020948,0.000698267
14,19.6173,0.36004,0.59897,3.24305,0.88702,0,0.01565,0.87554,0.21767,0.20579,0.01654,0.90091,0.21918,0.20861,0.41678,0.58122,3.18935,0.87341,0,0.00225758,0.000752528,0.00225758,0.000752528,0.00225758,0.000752528,0.00225758,0.000752528
15,20.7025,0.34968,0.61519,3.1632,0.88517,0,0.01417,0.86802,0.22529,0.21403,0.01497,0.89339,0.22659,0.21683,0.41388,0.57744,3.13188,0.86957,0,0.0024203,0.000806767,0.0024203,0.000806767,0.0024203,0.000806767,0.0024203,0.000806767
16,21.9619,0.33541,0.48843,3.04081,0.86771,0,0.46195,0.16273,0.27958,0.26623,0.46195,0.16273,0.28171,0.2689,0.42367,0.53805,2.96414,0.86389,0,0.00258296,0.000860985,0.00258296,0.000860985,0.00258296,0.000860985,0.00258296,0.000860985
17,23.0647,0.33225,0.46204,2.87048,0.86248,0,0.7301,0.08465,0.33022,0.31717,0.7301,0.08465,0.33259,0.31593,0.43342,0.54582,2.86903,0.86374,0,0.00271836,0.00090612,0.00271836,0.00090612,0.00271836,0.00090612,0.00271836,0.00090612
18,24.3109,0.35401,0.39632,2.86852,0.88332,0,0.54733,0.2837,0.39524,0.37612,0.54733,0.2837,0.39685,0.36362,0.45798,0.53625,2.60053,0.87798,0,0.00271782,0.00090594,0.00271782,0.00090594,0.00271782,0.00090594,0.00271782,0.00090594
19,25.4134,0.31869,0.49759,2.56438,0.87724,0,0.51333,0.28025,0.40025,0.38205,0.51333,0.28025,0.40175,0.37534,0.46629,0.51127,2.47106,0.8851,0,0.00271728,0.00090576,0.00271728,0.00090576,0.00271728,0.00090576,0.00271728,0.00090576
20,26.6793,0.36247,0.43555,2.54873,0.90752,0,0.56502,0.3107,0.43867,0.41705,0.56502,0.3107,0.43965,0.40615,0.50606,0.50703,2.19901,0.90369,0,0.00271674,0.00090558,0.00271674,0.00090558,0.00271674,0.00090558,0.00271674,0.00090558
21,27.8938,0.33983,0.5131,2.3901,0.85395,0,0.56284,0.3424,0.45852,0.43382,0.56284,0.3424,0.45995,0.42761,0.49742,0.51268,2.06907,0.90693,0,0.0027162,0.0009054,0.0027162,0.0009054,0.0027162,0.0009054,0.0027162,0.0009054
22,29.1503,0.35557,0.39525,2.40721,0.89172,0,0.53707,0.40838,0.48909,0.46244,0.53707,0.40838,0.48909,0.45829,0.49049,0.5315,1.89475,0.90256,0,0.00271566,0.00090522,0.00271566,0.00090522,0.00271566,0.00090522,0.00271566,0.00090522
23,30.2478,0.35162,0.46432,2.20265,0.88839,0,0.59511,0.44174,0.51169,0.47556,0.59511,0.44174,0.51169,0.47894,0.48457,0.55879,1.81979,0.89904,0,0.00271512,0.00090504,0.00271512,0.00090504,0.00271512,0.00090504,0.00271512,0.00090504
24,31.5076,0.37208,0.47288,2.12596,0.89974,0,0.67147,0.48269,0.57078,0.53656,0.67147,0.48269,0.57114,0.53122,0.50473,0.65915,1.67284,0.90555,0,0.00271458,0.00090486,0.00271458,0.00090486,0.00271458,0.00090486,0.00271458,0.00090486
25,32.6103,0.34214,0.39638,2.05979,0.87932,0,0.69568,0.51053,0.59498,0.5611,0.68199,0.50301,0.58224,0.5501,0.52879,0.69963,1.62889,0.91474,0,0.00271404,0.00090468,0.00271404,0.00090468,0.00271404,0.00090468,0.00271404,0.00090468
26,33.8644,0.3202,0.52482,1.95244,0.88538,0,0.73363,0.47529,0.69606,0.66426,0.73363,0.47529,0.69728,0.63521,0.49012,0.65594,1.53808,0.90581,0,0.0027135,0.0009045,0.0027135,0.0009045,0.0027135,0.0009045,0.0027135,0.0009045
27,34.961,0.34413,0.45181,1.9482,0.89083,0,0.57852,0.54597,0.70004,0.65599,0.57852,0.54597,0.69876,0.63157,0.49953,0.6561,1.52592,0.90793,0,0.00271296,0.00090432,0.00271296,0.00090432,0.00271296,0.00090432,0.00271296,0.00090432
28,36.2262,0.37092,0.4189,1.85726,0.8808,0,0.45701,0.66344,0.70236,0.6613,0.45701,0.66344,0.69992,0.6454,0.50105,0.62456,1.47848,0.89997,0,0.00271242,0.00090414,0.00271242,0.00090414,0.00271242,0.00090414,0.00271242,0.00090414
29,37.3338,0.3617,0.68766,1.81299,0.87233,0,0.48399,0.81968,0.71809,0.67945,0.48399,0.81968,0.71503,0.64933,0.49614,0.61006,1.4558,0.89999,0,0.00271188,0.000903961,0.00271188,0.000903961,0.00271188,0.000903961,0.00271188,0.000903961
30,38.7156,0.32146,0.39876,1.70533,0.86993,0,0.52204,0.64074,0.76026,0.70742,0.52204,0.64074,0.7565,0.67211,0.45974,0.64381,1.3645,0.87855,0,0.00271134,0.000903781,0.00271134,0.000903781,0.00271134,0.000903781,0.00271134,0.000903781
31,39.8136,0.31542,0.44346,1.57435,0.86503,0,0.5345,0.86802,0.75799,0.70597,0.5345,0.86802,0.75394,0.66177,0.43849,0.59486,1.32465,0.87099,0,0.0027108,0.000903601,0.0027108,0.000903601,0.0027108,0.000903601,0.0027108,0.000903601
32,41.0797,0.35281,0.47811,1.61265,0.87124,0,0.64804,0.807,0.76982,0.71786,0.64804,0.807,0.76507,0.67638,0.45416,0.56805,1.27271,0.87374,0,0.00271026,0.000903421,0.00271026,0.000903421,0.00271026,0.000903421,0.00271026,0.000903421
33,42.177,0.30416,0.44582,1.56241,0.85342,0,0.73197,0.78396,0.76998,0.72621,0.73197,0.78396,0.7674,0.68269,0.46,0.5753,1.24501,0.88232,0,0.00270972,0.000903241,0.00270972,0.000903241,0.00270972,0.000903241,0.00270972,0.000903241
