epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1.44507,0.47937,1.18929,3.76349,0.97164,0,0.01233,0.63695,0.10586,0.09383,0.01502,0.64944,0.10779,0.09174,0.45527,0.82612,3.49651,0.89305,0,0.00013635,4.545e-05,0.00013635,4.545e-05,0.00013635,4.545e-05,0.00013635,4.545e-05
2,3.21306,0.51041,1.48432,3.7703,0.95422,0,0.022,0.64729,0.10924,0.09807,0.02189,0.64474,0.11034,0.09957,0.44518,0.83691,3.49168,0.88965,0,0.000299911,9.99702e-05,0.000299911,9.99702e-05,0.000299911,9.99702e-05,0.000299911,9.99702e-05
3,4.94974,0.49632,1.23413,3.73322,0.96528,0,0.02714,0.6112,0.10963,0.10406,0.02724,0.63722,0.10957,0.10719,0.42676,0.78855,3.47634,0.88847,0,0.000463406,0.000154469,0.000463406,0.000154469,0.000463406,0.000154469,0.000463406,0.000154469
4,6.36582,0.47384,1.11707,3.73642,0.95891,0,0.02797,0.62905,0.10719,0.10254,0.02777,0.60865,0.10699,0.10496,0.41768,0.75899,3.46026,0.88364,0,0.000626837,0.000208946,0.000626837,0.000208946,0.000626837,0.000208946,0.000626837,0.000208946
5,7.77891,0.41602,1.24753,3.69455,0.90179,0,0.02785,0.66987,0.12443,0.11853,0.03161,0.67739,0.12742,0.12385,0.40289,0.72216,3.43219,0.88019,0,0.000790204,0.000263401,0.000790204,0.000263401,0.000790204,0.000263401,0.000790204,0.000263401
6,9.60465,0.48114,0.95067,3.73592,0.921,0,0.03198,0.68491,0.1372,0.12855,0.03879,0.69995,0.14469,0.13729,0.39942,0.69032,3.42078,0.8769,0,0.000953505,0.000317835,0.000953505,0.000317835,0.000953505,0.000317835,0.000953505,0.000317835
7,11.0523,0.39903,0.90686,3.6177,0.90353,0,0.02924,0.69243,0.14513,0.13529,0.03199,0.69995,0.14836,0.14052,0.39615,0.68175,3.40805,0.87912,0,0.00111674,0.000372247,0.00111674,0.000372247,0.00111674,0.000372247,0.00111674,0.000372247
8,12.4654,0.4093,1.0512,3.62102,0.8979,0,0.02597,0.72787,0.15893,0.14029,0.0265,0.75644,0.14886,0.14128,0.40133,0.64874,3.38448,0.87429,0,0.00127991,0.000426638,0.00127991,0.000426638,0.00127991,0.000426638,0.00127991,0.000426638
9,13.8853,0.41476,0.74487,3.56681,0.90309,0,0.02468,0.80975,0.17399,0.15759,0.02607,0.81727,0.17163,0.15973,0.38372,0.61129,3.35669,0.87022,0,0.00144302,0.000481007,0.00144302,0.000481007,0.00144302,0.000481007,0.00144302,0.000481007
10,15.1587,0.41252,1.00898,3.48464,0.8933,0,0.02335,0.79941,0.18676,0.16179,0.02463,0.80693,0.19227,0.17103,0.39234,0.61098,3.35507,0.87132,0,0.00160606,0.000535354,0.00160606,0.000535354,0.00160606,0.000535354,0.00160606,0.000535354
11,16.4237,0.38313,0.81843,3.42023,0.89737,0,0.02097,0.83512,0.1956,0.16898,0.02302,0.85016,0.20075,0.17606,0.41175,0.61879,3.34946,0.8748,0,0.00176904,0.00058968,0.00176904,0.00058968,0.00176904,0.00058968,0.00176904,0.00058968
12,17.6862,0.37869,0.56652,3.3586,0.88263,0,0.02037,0.84264,0.19288,0.17175,0.02127,0.85016,0.1963,0.17707,0.42355,0.61211,3.32445,0.87423,0,0.00193195,0.000643984,0.00193195,0.000643984,0.00193195,0.000643984,0.00193195,0.000643984
13,18.9582,0.39341,0.66556,3.28966,0.88553,0,0.01729,0.84264,0.20263,0.18863,0.01801,0.85016,0.20468,0.1916,0.43054,0.61222,3.2821,0.87538,0,0.0020948,0.000698267,0.0020948,0.000698267,0.0020948,0.000698267,0.0020948,0.000698267
14,20.2286,0.40164,0.70438,3.23514,0.88499,0,0.01573,0.8605,0.20073,0.19074,0.01609,0.87836,0.20099,0.19134,0.43994,0.6266,3.22683,0.88088,0,0.00225758,0.000752528,0.00225758,0.000752528,0.00225758,0.000752528,0.00225758,0.000752528
15,21.3488,0.35756,0.61176,3.15161,0.8806,0,0.01508,0.86802,0.22427,0.216,0.01542,0.88588,0.22435,0.21699,0.44127,0.62254,3.1825,0.88204,0,0.0024203,0.000806767,0.0024203,0.000806767,0.0024203,0.000806767,0.0024203,0.000806767
16,22.7399,0.40234,0.54003,3.05254,0.87953,0,0.01401,0.86802,0.26495,0.25417,0.01433,0.88588,0.26454,0.25304,0.45491,0.60639,3.03566,0.87297,0,0.00258296,0.000860985,0.00258296,0.000860985,0.00258296,0.000860985,0.00258296,0.000860985
17,23.8545,0.36226,0.59883,2.87876,0.87659,0,0.4059,0.19518,0.30494,0.29453,0.4059,0.19518,0.3044,0.29363,0.47398,0.57428,2.93272,0.88159,0,0.00271836,0.00090612,0.00271836,0.00090612,0.00271836,0.00090612,0.00271836,0.00090612
18,25.1233,0.37437,0.482,2.85553,0.8668,0,0.52714,0.26152,0.36581,0.35147,0.52714,0.26152,0.36445,0.34753,0.483,0.57247,2.64695,0.87865,0,0.00271782,0.00090594,0.00271782,0.00090594,0.00271782,0.00090594,0.00271782,0.00090594
19,26.2332,0.37548,0.48061,2.71364,0.88229,0,0.4848,0.27413,0.39678,0.37658,0.4848,0.27413,0.39511,0.38037,0.46891,0.55458,2.50097,0.87924,0,0.00271728,0.00090576,0.00271728,0.00090576,0.00271728,0.00090576,0.00271728,0.00090576
