epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2.9676,0.44751,3.46067,7.16755,0.00681,12.8278,0.00798,0.56429,0.07944,0.07914,0.00352,0.53571,0.07648,0.06725,0.11057,2.51728,3.16086,0.00245,0,0.0027,0.0009,0.0027,0.0009,0.0027,0.0009,0.0027,0.0009
2,7.0087,0.37022,2.94543,6.79575,0.0056,6.365,0.00811,0.6,0.08033,0.0803,0.00811,0.6,0.08033,0.08033,0.11115,0.97703,3.15898,0.00254,0,0.00569887,0.00189962,0.00569887,0.00189962,0.00569887,0.00189962,0.00569887,0.00189962
3,10.5016,0.31973,1.82366,6.67166,0.00471,3.75589,0.00942,0.62857,0.04146,0.04127,0.00942,0.62857,0.04146,0.04146,0.13292,0.61222,3.15474,0.00316,0,0.00869655,0.00289885,0.00869655,0.00289885,0.00869655,0.00289885,0.00869655,0.00289885
4,13.8068,0.38525,1.26985,6.85918,0.00603,3.244,0.02292,0.9,0.10352,0.08925,0.02292,0.9,0.10352,0.10352,0.23718,0.41066,3.26778,0.00548,0,0.0116931,0.00389768,0.0116931,0.00389768,0.0116931,0.00389768,0.0116931,0.00389768
5,17.1267,0.41053,1.17459,6.61185,0.0069,2.59809,0.00717,1,0.15438,0.14991,0.00717,1,0.15438,0.15369,0.1975,0.25698,3.28506,0.00462,0,0.0146884,0.00489612,0.0146884,0.00489612,0.0146884,0.00489612,0.0146884,0.00489612
6,20.2399,0.45634,1.31137,6.16484,0.00772,2.10101,0.0052,1,0.2219,0.21049,0.0052,1,0.2219,0.22154,0.2541,0.46955,3.20409,0.00592,0,0.0176825,0.00589416,0.0176825,0.00589416,0.0176825,0.00589416,0.0176825,0.00589416
7,23.2177,0.47115,1.06148,5.67117,0.00801,2.0482,0.00511,1,0.38732,0.32553,0.00511,1,0.38732,0.36592,0.41809,0.42251,3.06716,0.01022,0,0.0206754,0.0068918,0.0206754,0.0068918,0.0206754,0.0068918,0.0206754,0.0068918
8,26.0527,0.5102,1.0159,5.68412,0.00932,1.90503,0.00463,1,0.47088,0.44595,0.00463,1,0.47088,0.47088,0.29891,0.23539,3.08971,0.00715,0,0.0236672,0.00788905,0.0236672,0.00788905,0.0236672,0.00788905,0.0236672,0.00788905
9,28.9044,0.606,1.03924,5.50229,0.01106,1.60278,0.00389,1,0.59975,0.53959,0.00389,1,0.59975,0.59552,0.55522,0.26256,3.09442,0.01219,0,0.0266577,0.0088859,0.0266577,0.0088859,0.0266577,0.0088859,0.0266577,0.0088859
10,31.7354,0.6324,0.74795,5.26666,0.01142,1.52788,0.85935,0.12931,0.56716,0.38657,0.85935,0.12931,0.56716,0.53698,1.02521,0.3856,3.107,0.02582,0,0.0296471,0.00988236,0.0296471,0.00988236,0.0296471,0.00988236,0.0296471,0.00988236
11,34.3204,0.73827,0.76137,4.98197,0.01341,1.41875,0.81162,0.18227,0.42741,0.36908,0.81162,0.18227,0.42741,0.41506,0.65718,0.42903,2.85292,0.01595,0,0.0299406,0.0099802,0.0299406,0.0099802,0.0299406,0.0099802,0.0299406,0.0099802
12,37.1363,0.58338,1.01967,4.58835,0.0103,1.34507,0.66443,0.37871,0.58103,0.53506,0.627,0.343,0.54413,0.53353,0.47165,0.8038,2.21133,0.01102,0,0.0299347,0.00997822,0.0299347,0.00997822,0.0299347,0.00997822,0.0299347,0.00997822
13,39.846,0.62453,1.11907,4.31114,0.01062,1.23777,0.50612,0.48236,0.54399,0.43512,0.50612,0.48236,0.54399,0.51604,0.91062,0.3131,2.0078,0.02311,0,0.0299287,0.00997624,0.0299287,0.00997624,0.0299287,0.00997624,0.0299287,0.00997624
14,42.6543,0.59187,0.8452,3.81921,0.00937,1.33088,0.7033,0.43214,0.64041,0.56431,0.7033,0.43214,0.64041,0.63519,0.59602,0.33011,1.70344,0.01484,0,0.0299228,0.00997426,0.0299228,0.00997426,0.0299228,0.00997426,0.0299228,0.00997426
15,45.2521,0.64094,0.95887,3.93745,0.01196,1.23715,0.70335,0.5112,0.62268,0.56435,0.70335,0.5112,0.62268,0.60266,0.45392,0.39226,1.77257,0.01136,0,0.0299168,0.00997228,0.0299168,0.00997228,0.0299168,0.00997228,0.0299168,0.00997228
16,48.0743,0.67422,1.03294,3.72562,0.01232,1.16218,0.35582,0.57696,0.62997,0.53994,0.35582,0.57696,0.62997,0.59633,0.65871,0.45175,1.93049,0.0148,0,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
17,50.6498,0.6273,0.8372,3.41564,0.01037,1.17193,0.41281,0.63065,0.6633,0.54777,0.41281,0.63065,0.6633,0.64564,0.86717,0.27672,1.64158,0.02139,0,0.029905,0.00996832,0.029905,0.00996832,0.029905,0.00996832,0.029905,0.00996832
18,53.6132,0.63372,0.85154,3.19254,0.01091,1.10847,0.45519,0.46126,0.60671,0.47636,0.45519,0.46126,0.60671,0.59931,1.02549,0.25738,1.6275,0.02647,0,0.029899,0.00996634,0.029899,0.00996634,0.029899,0.00996634,0.029899,0.00996634
19,56.1989,0.66446,0.94589,3.15381,0.01136,0.98979,0.61141,0.67681,0.68618,0.58286,0.61141,0.67681,0.68618,0.6845,0.75931,0.1853,1.73025,0.01887,0,0.0298931,0.00996436,0.0298931,0.00996436,0.0298931,0.00996436,0.0298931,0.00996436
20,59.0385,0.61585,0.85226,2.93491,0.01047,1.16775,0.58073,0.6325,0.63706,0.52877,0.58073,0.6325,0.63706,0.60944,0.6745,0.30785,1.62478,0.01737,0,0.0298871,0.00996238,0.0298871,0.00996238,0.0298871,0.00996238,0.0298871,0.00996238
21,61.6049,0.60577,0.7695,2.71246,0.01036,0.94559,0.72136,0.59967,0.58729,0.51902,0.72136,0.59967,0.58729,0.57335,0.55894,0.24584,1.61259,0.01398,0,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
22,64.4229,0.59557,0.77594,2.7045,0.01012,0.94414,0.36203,0.6619,0.67483,0.59579,0.36203,0.6619,0.67483,0.67174,0.60818,0.23611,1.45969,0.01507,0,0.0298753,0.00995842,0.0298753,0.00995842,0.0298753,0.00995842,0.0298753,0.00995842
23,67.0125,0.68119,0.89438,2.73013,0.01272,0.92885,0.43261,0.65477,0.7321,0.59239,0.43261,0.65477,0.7321,0.71654,0.85152,0.4434,1.36039,0.02249,0,0.0298693,0.00995644,0.0298693,0.00995644,0.0298693,0.00995644,0.0298693,0.00995644
24,69.972,0.58424,0.75296,2.60167,0.01032,0.94259,0.58663,0.67179,0.74196,0.66398,0.58663,0.67179,0.74196,0.7415,0.535,0.20356,1.10256,0.01297,0,0.0298634,0.00995446,0.0298634,0.00995446,0.0298634,0.00995446,0.0298634,0.00995446
25,72.544,0.62124,0.59912,2.5551,0.01074,1.15089,0.53225,0.77304,0.7166,0.66731,0.53225,0.77304,0.7166,0.71109,0.41351,0.17539,1.19692,0.01004,0,0.0298574,0.00995248,0.0298574,0.00995248,0.0298574,0.00995248,0.0298574,0.00995248
26,75.3562,0.66564,0.63301,2.31968,0.01174,0.9959,0.61026,0.82365,0.6152,0.56736,0.61026,0.82365,0.6152,0.61108,0.41338,0.36191,1.20039,0.01021,0,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505
27,77.9263,0.5667,0.86796,2.12846,0.00986,0.80545,0.5048,0.73452,0.70346,0.57606,0.5048,0.73452,0.70346,0.65949,0.54935,0.47544,1.32799,0.01321,0,0.0298456,0.00994852,0.0298456,0.00994852,0.0298456,0.00994852,0.0298456,0.00994852
28,80.8663,0.60249,0.85041,2.19485,0.00939,0.75708,0.52384,0.71945,0.7012,0.58908,0.52384,0.71945,0.7012,0.68174,0.80907,0.22006,1.03934,0.02033,0,0.0298396,0.00994654,0.0298396,0.00994654,0.0298396,0.00994654,0.0298396,0.00994654
29,83.441,0.59019,0.67452,2.06565,0.00943,0.83748,0.7453,0.64298,0.73128,0.67414,0.7453,0.64298,0.73128,0.7211,0.46722,0.30657,1.05695,0.01137,0,0.0298337,0.00994456,0.0298337,0.00994456,0.0298337,0.00994456,0.0298337,0.00994456
30,86.273,0.57718,0.80222,1.97225,0.00903,0.80642,0.51014,0.45114,0.62977,0.55523,0.51014,0.45114,0.62977,0.58379,0.57071,1.00889,1.76882,0.01321,0,0.0298277,0.00994258,0.0298277,0.00994258,0.0298277,0.00994258,0.0298277,0.00994258
31,88.8657,0.58825,0.86217,1.97646,0.00999,0.88278,0.69155,0.67976,0.78342,0.68063,0.69155,0.67976,0.78342,0.76993,0.66761,0.24563,0.81383,0.01692,0,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
32,91.6839,0.61983,0.64733,1.81059,0.01106,0.78175,0.65987,0.84428,0.79045,0.64573,0.65987,0.84428,0.79045,0.76022,0.89041,0.17736,0.96074,0.02186,0,0.0298159,0.00993862,0.0298159,0.00993862,0.0298159,0.00993862,0.0298159,0.00993862
33,94.273,0.60886,0.74777,1.77864,0.01069,0.84299,0.52911,0.79071,0.67883,0.61265,0.52911,0.79071,0.67883,0.67505,0.52148,0.22124,1.14883,0.0118,0,0.0298099,0.00993664,0.0298099,0.00993664,0.0298099,0.00993664,0.0298099,0.00993664
34,97.2224,0.52892,0.82562,1.70464,0.00892,0.77527,0.66133,0.66297,0.83613,0.76563,0.66133,0.66297,0.83613,0.82927,0.51478,0.28445,1.24707,0.0121,0,0.029804,0.00993466,0.029804,0.00993466,0.029804,0.00993466,0.029804,0.00993466
35,99.8246,0.62171,0.87928,1.68199,0.00956,0.7593,0.76919,0.68606,0.78822,0.7112,0.76919,0.68606,0.78822,0.78822,0.48194,0.27363,0.79487,0.01156,0,0.029798,0.00993268,0.029798,0.00993268,0.029798,0.00993268,0.029798,0.00993268
36,102.669,0.61472,0.63146,1.57501,0.01019,0.56737,0.79863,0.62319,0.85481,0.73204,0.79863,0.62319,0.85481,0.85481,0.75299,0.15752,0.98759,0.01795,0,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307
37,105.253,0.54986,0.62007,1.63545,0.00857,0.73721,0.53908,0.75967,0.69688,0.63795,0.53908,0.75967,0.69688,0.69688,0.46052,0.20362,1.24039,0.01092,0,0.0297862,0.00992872,0.0297862,0.00992872,0.0297862,0.00992872,0.0297862,0.00992872
38,108.076,0.55266,0.70221,1.52276,0.00898,0.66355,0.66204,0.84037,0.85396,0.79136,0.66204,0.84037,0.85396,0.85396,0.43263,0.3389,0.88043,0.01091,0,0.0297802,0.00992674,0.0297802,0.00992674,0.0297802,0.00992674,0.0297802,0.00992674
39,110.802,0.57294,0.72601,1.45208,0.00937,0.65566,0.72505,0.87065,0.91293,0.83804,0.72505,0.87065,0.91293,0.91293,0.47563,0.27853,0.70818,0.01193,0,0.0297743,0.00992476,0.0297743,0.00992476,0.0297743,0.00992476,0.0297743,0.00992476
40,113.648,0.55466,0.5906,1.53848,0.009,0.57808,0.53258,0.7813,0.77302,0.71494,0.53258,0.7813,0.77302,0.76432,0.44943,0.2154,0.81269,0.0106,0,0.0297683,0.00992278,0.0297683,0.00992278,0.0297683,0.00992278,0.0297683,0.00992278
41,116.227,0.55715,0.55428,1.42617,0.0094,0.73559,0.77265,0.74331,0.84789,0.76724,0.77265,0.74331,0.84789,0.82904,0.4634,0.18909,1.20321,0.01044,0,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
42,119.047,0.57411,0.70259,1.44472,0.00895,0.68885,0.72007,0.80861,0.76353,0.65699,0.72007,0.80861,0.76353,0.76353,0.70675,0.29527,0.94244,0.01799,0,0.0297565,0.00991882,0.0297565,0.00991882,0.0297565,0.00991882,0.0297565,0.00991882
43,121.616,0.57876,0.69419,1.3748,0.00939,0.75529,0.70905,0.90436,0.92654,0.82152,0.70905,0.90436,0.92654,0.92654,0.52312,0.18883,0.65895,0.01281,0,0.0297505,0.00991684,0.0297505,0.00991684,0.0297505,0.00991684,0.0297505,0.00991684
44,124.565,0.60576,0.68346,1.28974,0.00925,0.59747,0.8838,0.72702,0.91251,0.86889,0.8838,0.72702,0.91251,0.91251,0.36207,0.22045,0.72621,0.00859,0,0.0297446,0.00991486,0.0297446,0.00991486,0.0297446,0.00991486,0.0297446,0.00991486
45,127.153,0.50186,0.82235,1.38294,0.00741,0.75197,0.83413,0.8387,0.94393,0.85832,0.83413,0.8387,0.94393,0.93312,0.48458,0.19851,0.59072,0.01162,0,0.0297386,0.00991288,0.0297386,0.00991288,0.0297386,0.00991288,0.0297386,0.00991288
46,129.972,0.54647,0.78332,1.31249,0.00855,0.62017,0.69866,0.77613,0.87115,0.77977,0.69866,0.77613,0.87115,0.86551,0.50924,0.16512,0.8628,0.013,0,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109
47,132.553,0.61872,0.63179,1.25764,0.00997,0.51472,0.80037,0.6881,0.84552,0.75837,0.80037,0.6881,0.84552,0.84481,0.45896,0.17887,0.91986,0.01181,0,0.0297268,0.00990892,0.0297268,0.00990892,0.0297268,0.00990892,0.0297268,0.00990892
48,135.381,0.6142,0.89596,1.2127,0.00994,0.49068,0.80872,0.83599,0.85498,0.73728,0.80872,0.83599,0.85498,0.84159,0.61583,0.16512,1.02559,0.01452,0,0.0297208,0.00990694,0.0297208,0.00990694,0.0297208,0.00990694,0.0297208,0.00990694
49,138.078,0.58972,0.86854,1.28482,0.00937,0.71954,0.87341,0.91786,0.90858,0.8119,0.87341,0.91786,0.90858,0.89357,0.63709,0.18496,0.73216,0.01507,0,0.0297149,0.00990496,0.0297149,0.00990496,0.0297149,0.00990496,0.0297149,0.00990496
50,140.881,0.5947,0.73368,1.23557,0.00931,0.55496,0.56395,0.82397,0.7317,0.66546,0.56395,0.82397,0.7317,0.72958,0.44976,0.48734,1.44645,0.01156,0,0.0297089,0.00990298,0.0297089,0.00990298,0.0297089,0.00990298,0.0297089,0.00990298
51,143.462,0.58469,0.6552,1.0651,0.01018,0.54372,0.64495,0.65074,0.76859,0.67851,0.64495,0.65074,0.76859,0.76595,0.58266,0.34203,1.16084,0.0138,0,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
52,146.286,0.57115,0.46095,1.11519,0.00924,0.50977,0.6216,0.83958,0.85716,0.76636,0.6216,0.83958,0.85716,0.85716,0.49125,0.19497,0.84928,0.0119,0,0.0296971,0.00989902,0.0296971,0.00989902,0.0296971,0.00989902,0.0296971,0.00989902
53,148.869,0.54604,0.50939,1.06771,0.00865,0.52752,0.68614,0.77683,0.78967,0.73466,0.68614,0.77683,0.78967,0.78967,0.40204,0.15632,1.11005,0.00952,0,0.0296911,0.00989704,0.0296911,0.00989704,0.0296911,0.00989704,0.0296911,0.00989704
54,151.833,0.61296,0.64312,1.02386,0.00987,0.50015,0.84082,0.60876,0.81439,0.75308,0.84082,0.60876,0.81439,0.81067,0.35183,0.1738,1.01372,0.0083,0,0.0296852,0.00989506,0.0296852,0.00989506,0.0296852,0.00989506,0.0296852,0.00989506
55,154.428,0.56631,0.58101,1.01905,0.00905,0.46149,0.76651,0.7917,0.85541,0.76274,0.76651,0.7917,0.85541,0.84763,0.55035,0.18957,0.68486,0.0135,0,0.0296792,0.00989308,0.0296792,0.00989308,0.0296792,0.00989308,0.0296792,0.00989308
56,157.245,0.5349,0.68395,1.06581,0.00903,0.58015,0.57712,0.72619,0.7471,0.68396,0.57712,0.72619,0.7471,0.74445,0.48387,0.23424,1.1226,0.01168,0,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911
57,159.835,0.53522,0.71349,1.0679,0.00872,0.64756,0.75758,0.84059,0.87288,0.80003,0.75758,0.84059,0.87288,0.869,0.52446,0.19808,0.88535,0.01205,0,0.0296674,0.00988912,0.0296674,0.00988912,0.0296674,0.00988912,0.0296674,0.00988912
58,162.652,0.53199,0.77663,0.99728,0.0086,0.53009,0.63825,0.80336,0.82683,0.76902,0.63825,0.80336,0.82683,0.82487,0.40618,0.34474,0.9857,0.00988,0,0.0296614,0.00988714,0.0296614,0.00988714,0.0296614,0.00988714,0.0296614,0.00988714
59,165.234,0.55897,0.56587,1.03066,0.00871,0.56559,0.66367,0.82409,0.86545,0.80016,0.66367,0.82409,0.86545,0.86023,0.44511,0.21507,0.93851,0.01069,0,0.0296555,0.00988516,0.0296555,0.00988516,0.0296555,0.00988516,0.0296555,0.00988516
60,168.167,0.54597,0.57628,1.03856,0.00894,0.5349,0.59521,0.8482,0.79159,0.76881,0.59521,0.8482,0.79159,0.79159,0.30303,0.36795,0.78218,0.00749,0,0.0296495,0.00988318,0.0296495,0.00988318,0.0296495,0.00988318,0.0296495,0.00988318
61,170.746,0.51582,0.73254,1.05791,0.00784,0.60954,0.69851,0.77583,0.829,0.79951,0.69851,0.77583,0.829,0.82505,0.31393,0.38057,1.05928,0.00738,0,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
62,173.558,0.54903,0.73588,0.91566,0.00937,0.49972,0.7359,0.76315,0.82392,0.78536,0.7359,0.76315,0.82392,0.82392,0.36014,0.29983,0.73592,0.00835,0,0.0296377,0.00987922,0.0296377,0.00987922,0.0296377,0.00987922,0.0296377,0.00987922
63,176.147,0.54831,0.57349,0.89077,0.00908,0.40976,0.74401,0.70467,0.858,0.80912,0.74401,0.70467,0.858,0.858,0.36218,0.24125,0.77514,0.00863,0,0.0296317,0.00987724,0.0296317,0.00987724,0.0296317,0.00987724,0.0296317,0.00987724
64,178.985,0.57575,0.62057,0.96061,0.00966,0.39593,0.81879,0.65072,0.85657,0.81443,0.81879,0.65072,0.85657,0.85462,0.36883,0.25207,0.8214,0.00869,0,0.0296258,0.00987526,0.0296258,0.00987526,0.0296258,0.00987526,0.0296258,0.00987526
65,181.678,0.54135,0.58011,0.9186,0.00855,0.38546,0.81695,0.7883,0.86717,0.77183,0.81695,0.7883,0.86717,0.86006,0.56292,0.19198,0.8632,0.01396,0,0.0296198,0.00987328,0.0296198,0.00987328,0.0296198,0.00987328,0.0296198,0.00987328
66,184.504,0.5319,0.60154,0.88032,0.00819,0.51046,0.61644,0.84014,0.7797,0.70369,0.61644,0.84014,0.7797,0.7797,0.55647,0.19633,1.11578,0.0139,0,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713
67,187.095,0.563,0.52474,0.93879,0.00982,0.53346,0.61503,0.61524,0.66503,0.58446,0.61503,0.61524,0.66503,0.66112,0.54618,0.18619,1.6793,0.01334,0,0.029608,0.00986932,0.029608,0.00986932,0.029608,0.00986932,0.029608,0.00986932
68,189.916,0.518,0.80207,0.92681,0.00871,0.50932,0.84769,0.83291,0.93834,0.85437,0.84769,0.83291,0.93834,0.93599,0.43671,0.15727,0.55135,0.01001,0,0.029602,0.00986734,0.029602,0.00986734,0.029602,0.00986734,0.029602,0.00986734
69,192.503,0.56566,0.46503,0.93502,0.00877,0.46419,0.75311,0.82463,0.89762,0.84494,0.75311,0.82463,0.89762,0.89398,0.41352,0.15638,0.68516,0.00981,0,0.0295961,0.00986536,0.0295961,0.00986536,0.0295961,0.00986536,0.0295961,0.00986536
70,195.453,0.52249,0.81764,0.85479,0.00833,0.5079,0.81025,0.87699,0.96702,0.87575,0.81025,0.87699,0.96702,0.95565,0.51017,0.1309,0.4867,0.0126,0,0.0295901,0.00986338,0.0295901,0.00986338,0.0295901,0.00986338,0.0295901,0.00986338
71,198.049,0.57011,0.63375,0.87937,0.0086,0.45381,0.95825,0.62535,0.81145,0.74966,0.95825,0.62535,0.81145,0.80306,0.47992,0.16497,0.81678,0.01095,0,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
72,200.881,0.51241,0.58569,0.94629,0.00854,0.55793,0.7199,0.95726,0.94799,0.91601,0.7199,0.95726,0.94799,0.94799,0.31908,0.14032,0.42506,0.00738,0,0.0295783,0.00985942,0.0295783,0.00985942,0.0295783,0.00985942,0.0295783,0.00985942
73,203.47,0.51454,0.50596,0.83595,0.00777,0.41632,0.84084,0.75363,0.93612,0.82392,0.84084,0.75363,0.93612,0.92664,0.54421,0.14334,0.69444,0.01373,0,0.0295723,0.00985744,0.0295723,0.00985744,0.0295723,0.00985744,0.0295723,0.00985744
74,206.281,0.55544,0.67279,0.90632,0.00854,0.51272,0.67628,0.87191,0.90719,0.84712,0.67628,0.87191,0.90719,0.90301,0.33852,0.20369,0.67458,0.00806,0,0.0295664,0.00985546,0.0295664,0.00985546,0.0295664,0.00985546,0.0295664,0.00985546
75,208.858,0.51646,0.4975,0.82593,0.00804,0.39266,0.80051,0.79138,0.89095,0.82918,0.80051,0.79138,0.89095,0.88435,0.37763,0.3107,0.74417,0.00905,0,0.0295604,0.00985348,0.0295604,0.00985348,0.0295604,0.00985348,0.0295604,0.00985348
76,211.798,0.56494,0.51193,0.8266,0.0096,0.35174,0.73105,0.86752,0.89223,0.81106,0.73105,0.86752,0.89223,0.88978,0.5146,0.27806,0.64185,0.01325,0,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
77,214.387,0.54023,0.58557,0.85988,0.00851,0.35414,0.81069,0.81986,0.90948,0.85609,0.81069,0.81986,0.90948,0.9068,0.39923,0.17475,0.6179,0.00985,0,0.0295486,0.00984952,0.0295486,0.00984952,0.0295486,0.00984952,0.0295486,0.00984952
