epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,24.8559,0.43744,3.42662,6.90555,0.00689,12.8531,0.00835,0.56429,0.11557,0.11557,0.00359,0.53571,0.11253,0.113,0.10471,2.15682,3.16048,0.0023,0,0.0027,0.0009,0.0027,0.0009,0.0027,0.0009,0.0027,0.0009
2,28.8862,0.41636,2.80003,6.69959,0.00634,6.12334,0.01432,0.6,0.132,0.13179,0.01432,0.6,0.132,0.13177,0.07023,0.64815,3.15714,0.00151,0,0.00569887,0.00189962,0.00569887,0.00189962,0.00569887,0.00189962,0.00569887,0.00189962
3,32.1926,0.35724,1.59183,6.25098,0.00515,3.75668,0.00792,0.62857,0.15267,0.14994,0.00792,0.62857,0.15267,0.15267,0.0998,0.31004,3.16499,0.00223,0,0.00869655,0.00289885,0.00869655,0.00289885,0.00869655,0.00289885,0.00869655,0.00289885
4,35.6241,0.33193,1.10971,6.37663,0.0054,3.22053,0.01853,0.87619,0.26325,0.26043,0.01853,0.87619,0.26325,0.2628,0.12244,0.30462,3.24677,0.00282,0,0.0116931,0.00389768,0.0116931,0.00389768,0.0116931,0.00389768,0.0116931,0.00389768
5,38.9452,0.42957,1.03417,6.50914,0.00646,2.40288,0.00775,1,0.35994,0.32371,0.00775,1,0.35994,0.35746,0.25206,0.83476,3.27499,0.00581,0,0.0146884,0.00489612,0.0146884,0.00489612,0.0146884,0.00489612,0.0146884,0.00489612
6,41.9785,0.46078,1.24121,5.94529,0.00713,2.18122,0.00532,1,0.37947,0.34043,0.00532,1,0.37947,0.37746,0.31162,0.58892,3.15,0.00759,0,0.0176825,0.00589416,0.0176825,0.00589416,0.0176825,0.00589416,0.0176825,0.00589416
7,44.7792,0.51414,0.91654,5.28612,0.00855,2.04118,0.00452,1,0.3494,0.32135,0.00452,1,0.3494,0.34857,0.33316,0.46079,3.13642,0.00764,0,0.0206754,0.0068918,0.0206754,0.0068918,0.0206754,0.0068918,0.0206754,0.0068918
8,47.6016,0.52536,1.02514,5.52602,0.00927,1.78696,0.0042,1,0.40638,0.33951,0.0042,1,0.40638,0.39216,0.50775,0.29668,3.25675,0.01207,0,0.0236672,0.00788905,0.0236672,0.00788905,0.0236672,0.00788905,0.0236672,0.00788905
9,50.5573,0.67984,0.89583,5.10327,0.01091,1.61516,0.89988,0.18545,0.52447,0.45383,0.89988,0.18545,0.52447,0.52447,0.54591,0.23941,2.93241,0.01265,0,0.0266577,0.0088859,0.0266577,0.0088859,0.0266577,0.0088859,0.0266577,0.0088859
10,53.3664,0.60453,0.7961,4.7805,0.0097,1.47802,0.90283,0.12968,0.43852,0.33206,0.90283,0.12968,0.43852,0.40636,0.94665,0.33738,2.83783,0.02352,0,0.0296471,0.00988236,0.0296471,0.00988236,0.0296471,0.00988236,0.0296471,0.00988236
