epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2.8947,0.54911,3.28177,6.82471,0.00554,12.7306,0.01154,0.40357,0.02674,0.02536,0.01154,0.40357,0.02713,0.02154,0.37579,2.28837,3.27799,0.0023,0,0.0027,0.0009,0.0027,0.0009,0.0027,0.0009,0.0027,0.0009
2,6.89132,0.51761,3.02447,6.39556,0.00503,6.03738,0.00993,0.44643,0.0225,0.02158,0.00993,0.44643,0.02259,0.02237,0.32999,1.09867,3.27897,0.00218,0,0.00569887,0.00189962,0.00569887,0.00189962,0.00569887,0.00189962,0.00569887,0.00189962
3,10.3298,0.46563,1.97582,6.39868,0.00431,3.43397,0.04456,0.4869,0.07003,0.06983,0.04456,0.4869,0.07025,0.07006,0.3401,0.75395,3.27839,0.00277,0,0.00869655,0.00289885,0.00869655,0.00289885,0.00869655,0.00289885,0.00869655,0.00289885
4,13.6099,0.47844,1.50071,6.34158,0.00462,2.65642,0.01271,0.73214,0.20077,0.19902,0.01271,0.73214,0.20325,0.20211,0.33717,0.60252,3.3046,0.00288,0,0.0116931,0.00389768,0.0116931,0.00389768,0.0116931,0.00389768,0.0116931,0.00389768
5,16.8882,0.43944,1.53187,6.28564,0.00479,2.05217,0.00759,0.80357,0.22336,0.21416,0.00759,0.80357,0.22336,0.22328,0.44523,0.6473,3.30497,0.00425,0,0.0146884,0.00489612,0.0146884,0.00489612,0.0146884,0.00489612,0.0146884,0.00489612
6,19.9354,0.4936,1.25869,5.79799,0.0059,1.80252,0.00627,0.8869,0.33245,0.32329,0.00627,0.8869,0.33245,0.33029,0.39803,0.71587,3.21088,0.00359,0,0.0176825,0.00589416,0.0176825,0.00589416,0.0176825,0.00589416,0.0176825,0.00589416
7,22.7303,0.54777,1.19511,5.17049,0.00586,1.69687,0.00562,0.92262,0.33819,0.29206,0.00562,0.92262,0.33819,0.33027,0.59399,0.79046,3.30961,0.00781,0,0.0206754,0.0068918,0.0206754,0.0068918,0.0206754,0.0068918,0.0206754,0.0068918
8,25.636,0.59545,1.22093,5.22943,0.00715,1.54588,0.00475,0.92262,0.42459,0.35501,0.00492,0.93452,0.42558,0.42267,0.69408,0.79926,3.18219,0.01024,0,0.0236672,0.00788905,0.0236672,0.00788905,0.0236672,0.00788905,0.0236672,0.00788905
9,28.4246,0.74288,1.36883,5.04792,0.00886,1.29209,0.00419,0.92262,0.41618,0.34085,0.00419,0.92262,0.41618,0.3995,0.78348,0.58532,3.33912,0.01112,0,0.0266577,0.0088859,0.0266577,0.0088859,0.0266577,0.0088859,0.0266577,0.0088859
10,31.2016,0.72346,0.9874,4.83086,0.00918,1.28335,0.84114,0.22857,0.47405,0.39042,0.84114,0.22857,0.47405,0.44165,0.93173,0.6469,3.10564,0.01439,0,0.0296471,0.00988236,0.0296471,0.00988236,0.0296471,0.00988236,0.0296471,0.00988236
11,33.7472,0.67274,0.94246,4.80135,0.00762,1.21302,0.96443,0.15416,0.50125,0.41023,0.96443,0.15416,0.50125,0.46649,0.93095,0.60798,2.73444,0.01472,0,0.0299406,0.0099802,0.0299406,0.0099802,0.0299406,0.0099802,0.0299406,0.0099802
12,36.5558,0.67246,1.51128,4.22561,0.00765,1.23905,0.52793,0.32737,0.50051,0.45014,0.52793,0.32737,0.50038,0.49006,0.70872,0.85858,2.46896,0.00917,0,0.0299347,0.00997822,0.0299347,0.00997822,0.0299347,0.00997822,0.0299347,0.00997822
13,39.2062,0.76462,1.1135,4.20933,0.00869,1.11465,0.6157,0.42436,0.52713,0.49314,0.60626,0.41245,0.51663,0.4946,0.63774,0.96277,2.37923,0.00761,0,0.0299287,0.00997624,0.0299287,0.00997624,0.0299287,0.00997624,0.0299287,0.00997624
14,41.9856,0.62179,1.19535,3.74716,0.00728,1.07159,0.59118,0.4022,0.54423,0.49752,0.56936,0.37858,0.52526,0.51534,0.65539,1.37971,2.35417,0.00837,0,0.0299228,0.00997426,0.0299228,0.00997426,0.0299228,0.00997426,0.0299228,0.00997426
15,44.5319,0.65832,1.36343,3.79323,0.00748,1.16578,0.44801,0.29694,0.40227,0.34734,0.43407,0.28648,0.39624,0.38075,0.69259,1.25029,2.26374,0.00966,0,0.0299168,0.00997228,0.0299168,0.00997228,0.0299168,0.00997228,0.0299168,0.00997228
16,47.3224,0.67508,1.03887,3.57289,0.00752,1.03809,0.39027,0.46376,0.47869,0.45217,0.39027,0.46376,0.47853,0.47685,0.57735,0.57578,1.84997,0.00638,0,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
17,49.8464,0.64476,1.25233,3.51432,0.00709,1.02324,0.30995,0.37121,0.4495,0.38751,0.29933,0.35634,0.42077,0.40555,0.74888,0.73505,1.99777,0.01108,0,0.029905,0.00996832,0.029905,0.00996832,0.029905,0.00996832,0.029905,0.00996832
18,52.7413,0.68948,1.37663,3.31565,0.0076,1.00255,0.49854,0.50759,0.61352,0.55326,0.49854,0.50759,0.61249,0.59073,0.55226,1.12075,1.97199,0.00844,0,0.029899,0.00996634,0.029899,0.00996634,0.029899,0.00996634,0.029899,0.00996634
19,55.29,0.68726,1.30382,3.32369,0.00732,1.03657,0.54926,0.57267,0.532,0.4997,0.54926,0.57267,0.53264,0.52695,0.68462,0.83293,1.96093,0.0092,0,0.0298931,0.00996436,0.0298931,0.00996436,0.0298931,0.00996436,0.0298931,0.00996436
