epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2.88584,0.57041,3.06196,6.74082,0.00546,12.7631,0.01259,0.40357,0.03515,0.03202,0.00419,0.375,0.02777,0.02474,0.36692,2.2873,3.2754,0.00241,0,0.0027,0.0009,0.0027,0.0009,0.0027,0.0009,0.0027,0.0009
2,6.9174,0.51994,3.06937,6.27171,0.00482,6.21809,0.00956,0.475,0.02606,0.02368,0.00956,0.475,0.02606,0.02503,0.37962,1.15582,3.28267,0.00293,0,0.00569887,0.00189962,0.00569887,0.00189962,0.00569887,0.00189962,0.00569887,0.00189962
3,10.3761,0.49302,2.09985,6.20962,0.00475,3.49516,0.05323,0.58214,0.08464,0.08333,0.05323,0.58214,0.08464,0.08423,0.31225,0.77299,3.28664,0.00223,0,0.00869655,0.00289885,0.00869655,0.00289885,0.00869655,0.00289885,0.00869655,0.00289885
4,13.6704,0.49556,1.51883,6.2068,0.00499,2.65414,0.01905,0.79167,0.10442,0.103,0.01905,0.79167,0.10489,0.10455,0.41827,0.64774,3.29403,0.00361,0,0.0116931,0.00389768,0.0116931,0.00389768,0.0116931,0.00389768,0.0116931,0.00389768
5,16.9549,0.56653,1.35309,6.27975,0.00569,2.0957,0.00905,0.85119,0.24265,0.21119,0.00907,0.86905,0.24281,0.24143,0.59713,0.72237,3.33904,0.00763,0,0.0146884,0.00489612,0.0146884,0.00489612,0.0146884,0.00489612,0.0146884,0.00489612
6,20.0274,0.55689,1.43053,5.67896,0.00603,1.84529,0.00614,0.92262,0.25247,0.22771,0.0064,0.95238,0.25266,0.25243,0.51135,0.7018,3.24889,0.00633,0,0.0176825,0.00589416,0.0176825,0.00589416,0.0176825,0.00589416,0.0176825,0.00589416
7,22.8488,0.60652,1.37066,5.16782,0.00648,1.69695,0.00453,0.92262,0.34334,0.2891,0.00468,0.93452,0.34343,0.3431,0.68457,0.90891,3.40641,0.00985,0,0.0206754,0.0068918,0.0206754,0.0068918,0.0206754,0.0068918,0.0206754,0.0068918
8,25.7873,0.60393,1.19385,5.18843,0.00725,1.58123,0.00456,0.93452,0.40358,0.33861,0.00456,0.93452,0.40568,0.39834,0.76877,0.63013,3.28197,0.011,0,0.0236672,0.00788905,0.0236672,0.00788905,0.0236672,0.00788905,0.0236672,0.00788905
9,28.6116,0.68606,1.2939,4.81617,0.00768,1.45038,0.97583,0.02381,0.49111,0.42056,0.97583,0.02381,0.49413,0.47813,0.66407,0.62986,2.94972,0.00865,0,0.0266577,0.0088859,0.0266577,0.0088859,0.0266577,0.0088859,0.0266577,0.0088859
10,31.4315,0.76693,1.14189,4.63991,0.00871,1.36108,0.82177,0.17857,0.51548,0.44322,0.82177,0.17857,0.52286,0.51742,0.80098,0.6967,2.54559,0.01238,0,0.0296471,0.00988236,0.0296471,0.00988236,0.0296471,0.00988236,0.0296471,0.00988236
11,33.982,0.77367,0.82316,4.85013,0.00918,1.26337,0.4026,0.36262,0.46043,0.34992,0.4026,0.36262,0.46262,0.45257,1.10204,0.80548,2.48043,0.01857,0,0.0299406,0.0099802,0.0299406,0.0099802,0.0299406,0.0099802,0.0299406,0.0099802
12,36.7871,0.76317,1.34404,3.97066,0.00888,1.15697,0.73839,0.41633,0.59298,0.49029,0.7414,0.41266,0.58329,0.54509,0.95859,0.90908,2.26453,0.01419,0,0.0299347,0.00997822,0.0299347,0.00997822,0.0299347,0.00997822,0.0299347,0.00997822
13,39.3574,0.79371,1.10164,3.96966,0.00939,1.00531,0.53051,0.43227,0.58049,0.48634,0.50099,0.41101,0.5719,0.54101,0.8751,0.95609,2.20131,0.01331,0,0.0299287,0.00997624,0.0299287,0.00997624,0.0299287,0.00997624,0.0299287,0.00997624
14,42.2837,0.64671,1.29428,3.48433,0.00727,1.12863,0.73913,0.41613,0.62965,0.54999,0.73913,0.41613,0.63643,0.6193,0.71882,0.94858,2.01453,0.00932,0,0.0299228,0.00997426,0.0299228,0.00997426,0.0299228,0.00997426,0.0299228,0.00997426
15,44.8375,0.69879,1.17361,3.61155,0.00842,1.01777,0.69593,0.56009,0.68995,0.58759,0.65615,0.49277,0.63792,0.62274,0.82177,0.77175,1.78525,0.01194,0,0.0299168,0.00997228,0.0299168,0.00997228,0.0299168,0.00997228,0.0299168,0.00997228
16,47.6627,0.6884,1.176,3.47134,0.00813,1.06335,0.56877,0.5472,0.66392,0.5817,0.56877,0.5472,0.67404,0.66269,0.80454,0.62915,1.79987,0.01198,0,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
17,50.2319,0.63699,1.23508,3.35435,0.00722,1.08984,0.88392,0.2381,0.42375,0.39942,0.88392,0.2381,0.42962,0.42341,0.5406,0.80579,2.11055,0.00652,0,0.029905,0.00996832,0.029905,0.00996832,0.029905,0.00996832,0.029905,0.00996832
18,53.0422,0.69887,1.34214,3.1972,0.00689,1.02509,0.57976,0.64512,0.6133,0.54976,0.56605,0.59877,0.57949,0.57265,0.74143,0.97691,1.9707,0.01014,0,0.029899,0.00996634,0.029899,0.00996634,0.029899,0.00996634,0.029899,0.00996634
19,55.728,0.70714,1.31465,3.12544,0.00747,0.81228,0.50393,0.55357,0.63531,0.57028,0.50393,0.55357,0.6371,0.63387,0.69479,0.57671,1.83966,0.00918,0,0.0298931,0.00996436,0.0298931,0.00996436,0.0298931,0.00996436,0.0298931,0.00996436
20,58.5323,0.64787,1.17056,3.08287,0.00684,0.98605,0.45238,0.42936,0.53014,0.45416,0.45238,0.42936,0.53061,0.51755,0.83938,0.87572,2.13101,0.01256,0,0.0298871,0.00996238,0.0298871,0.00996238,0.0298871,0.00996238,0.0298871,0.00996238
21,61.1023,0.75616,1.16241,2.91649,0.00761,1.02832,0.62981,0.63768,0.66247,0.56908,0.62981,0.63768,0.66247,0.62806,0.83795,0.66505,1.60913,0.01252,0,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
22,63.9154,0.65992,1.23774,2.67092,0.00689,0.90744,0.60633,0.65988,0.64731,0.57423,0.57565,0.62524,0.60822,0.59775,0.68214,0.9164,1.45169,0.00936,0,0.0298753,0.00995842,0.0298753,0.00995842,0.0298753,0.00995842,0.0298753,0.00995842
23,66.456,0.67335,1.24449,2.78857,0.00697,0.87695,0.76468,0.60091,0.70734,0.67383,0.76468,0.60091,0.70698,0.69359,0.55224,0.82493,1.31939,0.00605,0,0.0298693,0.00995644,0.0298693,0.00995644,0.0298693,0.00995644,0.0298693,0.00995644
