epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1.63249,0.49436,1.98053,5.94122,0.00403,12.8091,0.00848,0.29331,0.02831,0.02632,0.00848,0.29267,0.02905,0.02382,0.59104,2.35584,3.47193,0.00353,0,0.00013635,4.545e-05,0.00013635,4.545e-05,0.00013635,4.545e-05,0.00013635,4.545e-05
2,3.94031,0.52777,2.90975,6.11516,0.00427,12.7907,0.01184,0.21576,0.02915,0.02796,0.01232,0.26474,0.03051,0.02445,0.58727,2.38562,3.47014,0.00345,0,0.000299911,9.99702e-05,0.000299911,9.99702e-05,0.000299911,9.99702e-05,0.000299911,9.99702e-05
3,6.6842,0.51296,2.33318,5.45581,0.0038,12.1359,0.01126,0.21576,0.03256,0.031,0.01129,0.23617,0.0332,0.028,0.56283,2.22009,3.47822,0.00325,0,0.000463406,0.000154469,0.000463406,0.000154469,0.000463406,0.000154469,0.000463406,0.000154469
4,8.95958,0.55049,2.29382,5.57394,0.00375,11.1742,0.00743,0.19791,0.02047,0.01942,0.00745,0.21831,0.01966,0.01715,0.55743,2.16161,3.4763,0.00306,0,0.000626837,0.000208946,0.000626837,0.000208946,0.000626837,0.000208946,0.000626837,0.000208946
5,11.0551,0.48117,2.28881,5.87859,0.00349,10.0363,0.00561,0.19791,0.02048,0.01887,0.00566,0.23872,0.02043,0.01655,0.54289,2.01387,3.47468,0.00295,0,0.000790204,0.000263401,0.000790204,0.000263401,0.000790204,0.000263401,0.000790204,0.000263401
6,13.143,0.50671,2.04955,6.13198,0.0036,8.65419,0.00648,0.22583,0.01856,0.01713,0.00687,0.27417,0.01947,0.01609,0.53421,1.90406,3.49504,0.0029,0,0.000953505,0.000317835,0.000953505,0.000317835,0.000953505,0.000317835,0.000953505,0.000317835
7,15.2579,0.43681,1.74582,5.92515,0.00319,7.03324,0.02975,0.28195,0.03458,0.03376,0.03068,0.32492,0.03575,0.03299,0.52903,1.64019,3.5411,0.00294,0,0.00111674,0.000372247,0.00111674,0.000372247,0.00111674,0.000372247,0.00111674,0.000372247
8,17.482,0.47901,2.17129,5.98254,0.0034,5.42202,0.01664,0.30988,0.03728,0.03504,0.01716,0.34533,0.04009,0.03483,0.53251,1.51036,3.57803,0.00293,0,0.00127991,0.000426638,0.00127991,0.000426638,0.00127991,0.000426638,0.00127991,0.000426638
9,19.6027,0.42363,1.63979,5.90947,0.00328,4.31198,0.01596,0.566,0.04929,0.04524,0.01604,0.57288,0.05314,0.04571,0.53349,1.35448,3.62132,0.00293,0,0.00144302,0.000481007,0.00144302,0.000481007,0.00144302,0.000481007,0.00144302,0.000481007
10,21.4691,0.44822,1.85844,5.41144,0.00331,4.03591,0.01189,0.59458,0.06822,0.0632,0.01268,0.65043,0.0736,0.06555,0.55327,1.34806,3.64045,0.0032,0,0.00160606,0.000535354,0.00160606,0.000535354,0.00160606,0.000535354,0.00160606,0.000535354
