epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,26.8776,0.50898,2.24175,5.59185,0.00365,12.865,0.00809,0.29331,0.03166,0.02968,0.00836,0.32124,0.03241,0.0268,0.59228,2.4054,3.4708,0.0035,0,0.00013635,4.545e-05,0.00013635,4.545e-05,0.00013635,4.545e-05,0.00013635,4.545e-05
2,29.9242,0.53033,2.76826,5.80909,0.00391,12.8289,0.01206,0.27291,0.02334,0.02182,0.01253,0.32189,0.02406,0.01942,0.59583,2.29807,3.47158,0.00352,0,0.000299911,9.99702e-05,0.000299911,9.99702e-05,0.000299911,9.99702e-05,0.000299911,9.99702e-05
3,32.5354,0.53515,2.6497,5.42075,0.00418,12.132,0.01042,0.24433,0.01967,0.01877,0.01045,0.26474,0.02065,0.01666,0.56437,2.30431,3.48091,0.00323,0,0.000463406,0.000154469,0.000463406,0.000154469,0.000463406,0.000154469,0.000463406,0.000154469
4,34.8957,0.52104,2.24755,5.28893,0.00346,11.0928,0.00607,0.19791,0.01889,0.01796,0.00609,0.21831,0.01858,0.01545,0.55824,2.19612,3.47712,0.00309,0,0.000626837,0.000208946,0.000626837,0.000208946,0.000626837,0.000208946,0.000626837,0.000208946
5,37.012,0.47634,2.14168,5.47095,0.00335,9.92413,0.00611,0.24433,0.0166,0.01577,0.00712,0.30083,0.01854,0.01623,0.56788,2.11774,3.46595,0.00308,0,0.000790204,0.000263401,0.000790204,0.000263401,0.000790204,0.000263401,0.000790204,0.000263401
6,39.1354,0.49212,2.36221,5.65401,0.00324,8.47739,0.00608,0.26474,0.01715,0.0165,0.00633,0.29267,0.01897,0.01584,0.57126,1.90229,3.48071,0.00311,0,0.000953505,0.000317835,0.000953505,0.000317835,0.000953505,0.000317835,0.000953505,0.000317835
7,41.2585,0.4451,2.02647,5.84153,0.00334,6.88366,0.00472,0.24433,0.01862,0.01772,0.0057,0.44305,0.01993,0.0177,0.56959,2.06621,3.52729,0.00314,0,0.00111674,0.000372247,0.00111674,0.000372247,0.00111674,0.000372247,0.00111674,0.000372247
8,43.3868,0.44624,2.21589,5.65655,0.00308,5.27497,0.0251,0.50478,0.03863,0.03757,0.02529,0.53271,0.04232,0.03781,0.5626,1.61227,3.571,0.00313,0,0.00127991,0.000426638,0.00127991,0.000426638,0.00127991,0.000426638,0.00127991,0.000426638
9,45.6324,0.46743,1.80825,5.61462,0.00335,4.2685,0.01367,0.51702,0.04038,0.03903,0.0163,0.57033,0.0461,0.04,0.54654,1.37606,3.63317,0.00312,0,0.00144302,0.000481007,0.00144302,0.000481007,0.00144302,0.000481007,0.00144302,0.000481007
10,47.5201,0.44169,1.71938,5.19282,0.00316,4.00645,0.00991,0.51702,0.03916,0.03704,0.01252,0.61114,0.04622,0.03926,0.55857,1.19469,3.66272,0.00325,0,0.00160606,0.000535354,0.00160606,0.000535354,0.00160606,0.000535354,0.00160606,0.000535354
11,49.4038,0.44016,1.57072,5.25052,0.00297,3.89172,0.00968,0.61243,0.03878,0.03582,0.01081,0.60859,0.04371,0.03848,0.53311,1.20401,3.70873,0.00311,0,0.00176904,0.00058968,0.00176904,0.00058968,0.00176904,0.00058968,0.00176904,0.00058968
12,51.2852,0.37361,1.01904,5.50478,0.00272,3.70348,0.00845,0.63284,0.05009,0.0472,0.00986,0.69431,0.05782,0.05059,0.54296,1.04726,3.74013,0.00324,0,0.00193195,0.000643984,0.00193195,0.000643984,0.00193195,0.000643984,0.00193195,0.000643984
13,53.1743,0.41983,1.1375,5.34677,0.00261,3.53611,0.00704,0.63029,0.04911,0.04361,0.00808,0.704,0.05284,0.04592,0.53028,0.95339,3.76211,0.00322,0,0.0020948,0.000698267,0.0020948,0.000698267,0.0020948,0.000698267,0.0020948,0.000698267
14,55.0674,0.40542,1.21787,5.32782,0.00269,3.26489,0.00654,0.65567,0.06033,0.05123,0.00793,0.73972,0.06419,0.05413,0.53472,0.90902,3.76184,0.00329,0,0.00225758,0.000752528,0.00225758,0.000752528,0.00225758,0.000752528,0.00225758,0.000752528
15,56.8148,0.42291,1.39314,5.2736,0.00258,3.01022,0.00652,0.65567,0.06172,0.05008,0.00792,0.73972,0.06828,0.0544,0.53114,0.88797,3.75605,0.00326,0,0.0024203,0.000806767,0.0024203,0.000806767,0.0024203,0.000806767,0.0024203,0.000806767
16,58.7014,0.42914,1.02512,5.23465,0.0028,2.98842,0.00689,0.7225,0.0834,0.06853,0.00756,0.76829,0.08762,0.07365,0.54551,0.85682,3.71385,0.00326,0,0.00258296,0.000860985,0.00258296,0.000860985,0.00258296,0.000860985,0.00258296,0.000860985
17,60.3522,0.38307,0.79849,4.90332,0.00274,2.91233,0.00686,0.7225,0.08305,0.06975,0.00763,0.77581,0.08826,0.07446,0.55053,0.88159,3.69613,0.00329,0,0.00271836,0.00090612,0.00271836,0.00090612,0.00271836,0.00090612,0.00271836,0.00090612
18,62.2433,0.39042,0.70315,5.05331,0.00251,2.60385,0.89888,0.02256,0.11496,0.1035,0.0074,0.79149,0.11923,0.10945,0.56648,0.85453,3.63159,0.00327,0,0.00271782,0.00090594,0.00271782,0.00090594,0.00271782,0.00090594,0.00271782,0.00090594
19,63.8941,0.3817,0.86009,4.82463,0.00254,2.55909,0.88922,0.01526,0.11156,0.10195,0.73513,0.04511,0.11596,0.10639,0.57014,0.84644,3.58673,0.00333,0,0.00271728,0.00090576,0.00271728,0.00090576,0.00271728,0.00090576,0.00271728,0.00090576
20,65.8829,0.38303,0.62111,4.9552,0.00261,2.25622,0.89661,0.03008,0.12615,0.1186,0.89661,0.03008,0.12717,0.11686,0.58424,0.82018,3.48911,0.00343,0,0.00271674,0.00090558,0.00271674,0.00090558,0.00271674,0.00090558,0.00271674,0.00090558
21,67.5062,0.35689,0.69022,5.41386,0.00247,2.19705,0.89222,0.04511,0.14283,0.13584,0.89222,0.04511,0.14385,0.13255,0.57481,0.79091,3.44334,0.00335,0,0.0027162,0.0009054,0.0027162,0.0009054,0.0027162,0.0009054,0.0027162,0.0009054
22,69.4235,0.39268,0.65963,4.87183,0.0026,2.28208,0.73643,0.04511,0.19322,0.18752,0.73643,0.04511,0.19375,0.1826,0.56535,0.7391,3.3426,0.0032,0,0.00271566,0.00090522,0.00271566,0.00090522,0.00271566,0.00090522,0.00271566,0.00090522
23,71.0784,0.38651,0.6723,4.62279,0.00235,2.20359,0.61297,0.06297,0.20357,0.19886,0.61297,0.06297,0.20411,0.19292,0.58574,0.71276,3.30386,0.00345,0,0.00271512,0.00090504,0.00271512,0.00090504,0.00271512,0.00090504,0.00271512,0.00090504
24,72.9746,0.41277,0.52739,4.83249,0.00263,2.13369,0.54102,0.11195,0.21252,0.20662,0.54102,0.11195,0.21305,0.20107,0.58737,0.66976,3.24387,0.00333,0,0.00271458,0.00090486,0.00271458,0.00090486,0.00271458,0.00090486,0.00271458,0.00090486
25,74.7303,0.37132,0.44091,5.0321,0.00251,2.0463,0.51995,0.12981,0.22652,0.21987,0.51995,0.12981,0.22681,0.21417,0.57517,0.66215,3.20153,0.00324,0,0.00271404,0.00090468,0.00271404,0.00090468,0.00271404,0.00090468,0.00271404,0.00090468
26,76.6229,0.38319,0.76328,4.55378,0.00238,1.92156,0.45058,0.13139,0.25084,0.24164,0.45058,0.13139,0.25084,0.2391,0.59455,0.66754,3.17425,0.00349,0,0.0027135,0.0009045,0.0027135,0.0009045,0.0027135,0.0009045,0.0027135,0.0009045
27,78.2704,0.39059,0.55774,4.65313,0.00244,1.94307,0.50966,0.15916,0.27364,0.2637,0.50966,0.15916,0.27364,0.26477,0.58511,0.66614,3.15264,0.0034,0,0.00271296,0.00090432,0.00271296,0.00090432,0.00271296,0.00090432,0.00271296,0.00090432
28,80.166,0.42198,0.61798,4.60215,0.00265,1.93391,0.51479,0.1449,0.28384,0.27197,0.51479,0.1449,0.28393,0.27068,0.5751,0.7183,3.09521,0.00353,0,0.00271242,0.00090414,0.00271242,0.00090414,0.00271242,0.00090414,0.00271242,0.00090414
29,81.8091,0.38029,0.83328,4.45257,0.00245,1.7315,0.47386,0.18593,0.31885,0.30526,0.47386,0.18593,0.31906,0.30436,0.58286,0.71671,3.03837,0.00343,0,0.00271188,0.000903961,0.00271188,0.000903961,0.00271188,0.000903961,0.00271188,0.000903961
30,83.8478,0.38271,0.42229,4.43191,0.00272,1.86081,0.46198,0.24228,0.3407,0.32592,0.46198,0.24228,0.341,0.31938,0.56741,0.72733,2.94689,0.0035,0,0.00271134,0.000903781,0.00271134,0.000903781,0.00271134,0.000903781,0.00271134,0.000903781
31,85.5063,0.35534,0.98849,3.93413,0.00235,1.62628,0.48303,0.3293,0.34767,0.3318,0.48303,0.3293,0.34797,0.32762,0.57756,0.73899,2.864,0.00349,0,0.0027108,0.000903601,0.0027108,0.000903601,0.0027108,0.000903601,0.0027108,0.000903601
32,87.4022,0.41424,0.549,4.32002,0.0027,1.64368,0.49506,0.324,0.36879,0.34985,0.49506,0.324,0.36945,0.33934,0.58606,0.69605,2.75376,0.00338,0,0.00271026,0.000903421,0.00271026,0.000903421,0.00271026,0.000903421,0.00271026,0.000903421
33,89.0511,0.34834,0.62999,4.3638,0.00224,1.52643,0.50414,0.29855,0.36356,0.34455,0.50414,0.29855,0.36404,0.33391,0.57886,0.70428,2.71778,0.00338,0,0.00270972,0.000903241,0.00270972,0.000903241,0.00270972,0.000903241,0.00270972,0.000903241
34,91.0669,0.35997,0.60349,4.02957,0.00226,1.35433,0.53248,0.32393,0.39188,0.37319,0.53248,0.32393,0.39242,0.36034,0.56837,0.75694,2.63661,0.00333,0,0.00270918,0.000903061,0.00270918,0.000903061,0.00270918,0.000903061,0.00270918,0.000903061
35,92.7255,0.41344,0.7871,4.18342,0.0027,1.51484,0.50191,0.32393,0.38681,0.37221,0.50191,0.32393,0.38749,0.35959,0.57134,0.76844,2.59637,0.00333,0,0.00270864,0.000902881,0.00270864,0.000902881,0.00270864,0.000902881,0.00270864,0.000902881
36,94.6081,0.38234,0.49196,4.19418,0.0024,1.2754,0.54323,0.29318,0.40584,0.39144,0.53392,0.2866,0.4002,0.37199,0.55869,0.80071,2.51109,0.00299,0,0.0027081,0.000902701,0.0027081,0.000902701,0.0027081,0.000902701,0.0027081,0.000902701
37,96.2601,0.36169,0.7531,3.9512,0.00224,1.26776,0.53591,0.27172,0.4176,0.40222,0.53591,0.27172,0.41855,0.38432,0.55944,0.83435,2.5034,0.00307,0,0.00270756,0.000902521,0.00270756,0.000902521,0.00270756,0.000902521,0.00270756,0.000902521
38,98.1592,0.39704,0.6414,3.99097,0.00276,1.27018,0.58338,0.30005,0.42154,0.40407,0.58338,0.30005,0.42254,0.38504,0.56112,0.71476,2.44528,0.00323,0,0.00270702,0.000902341,0.00270702,0.000902341,0.00270702,0.000902341,0.00270702,0.000902341
39,99.9295,0.41366,0.59071,4.06786,0.00259,1.18913,0.64076,0.28174,0.44017,0.4221,0.64076,0.28174,0.4413,0.40205,0.54714,0.71946,2.43325,0.00302,0,0.00270648,0.000902161,0.00270648,0.000902161,0.00270648,0.000902161,0.00270648,0.000902161
40,101.83,0.39519,0.55555,4.24869,0.00263,1.13143,0.69797,0.32328,0.46623,0.43465,0.69797,0.32328,0.46791,0.41345,0.53939,0.64875,2.40434,0.0031,0,0.00270594,0.000901981,0.00270594,0.000901981,0.00270594,0.000901981,0.00270594,0.000901981
41,103.439,0.371,0.5926,4.28399,0.00267,1.02517,0.76254,0.28133,0.51368,0.46819,0.76254,0.28133,0.51529,0.44234,0.54033,0.6247,2.42633,0.00322,0,0.0027054,0.000901801,0.0027054,0.000901801,0.0027054,0.000901801,0.0027054,0.000901801
42,105.3,0.38383,0.58777,3.80806,0.00252,1.00277,0.74569,0.34418,0.52991,0.48407,0.74569,0.34418,0.53181,0.45417,0.5386,0.62158,2.37384,0.00299,0,0.00270486,0.000901621,0.00270486,0.000901621,0.00270486,0.000901621,0.00270486,0.000901621
43,106.912,0.38078,0.55835,3.7772,0.00253,1.03829,0.77677,0.31321,0.46787,0.42322,0.77677,0.31321,0.46978,0.39913,0.55573,0.58795,2.36533,0.00318,0,0.00270432,0.000901441,0.00270432,0.000901441,0.00270432,0.000901441,0.00270432,0.000901441
44,108.87,0.35411,0.49591,3.80907,0.00245,0.97626,0.80056,0.31321,0.46391,0.41878,0.80056,0.31321,0.46658,0.39546,0.54291,0.56483,2.33007,0.00305,0,0.00270378,0.000901261,0.00270378,0.000901261,0.00270378,0.000901261,0.00270378,0.000901261
45,110.48,0.36027,0.56723,3.82632,0.00239,0.90312,0.80426,0.29535,0.46659,0.42181,0.80426,0.29535,0.46949,0.39921,0.55124,0.55911,2.28824,0.00318,0,0.00270324,0.000901081,0.00270324,0.000901081,0.00270324,0.000901081,0.00270324,0.000901081
