epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1.69016,0.45453,1.93912,5.84821,0.00383,12.7787,0.00835,0.29331,0.02967,0.02752,0.00837,0.29267,0.03065,0.02565,0.57805,2.39864,3.47073,0.00345,0,0.00013635,4.545e-05,0.00013635,4.545e-05,0.00013635,4.545e-05,0.00013635,4.545e-05
2,4.02176,0.52398,2.67032,6.05626,0.00377,12.8161,0.01165,0.21576,0.02613,0.02559,0.01212,0.26474,0.02786,0.02321,0.5713,2.37647,3.46995,0.00336,0,0.000299911,9.99702e-05,0.000299911,9.99702e-05,0.000299911,9.99702e-05,0.000299911,9.99702e-05
3,6.5889,0.49476,2.41054,5.44233,0.00366,12.0761,0.0102,0.21576,0.02918,0.02767,0.01023,0.23617,0.02988,0.02593,0.56593,2.27997,3.46627,0.00319,0,0.000463406,0.000154469,0.000463406,0.000154469,0.000463406,0.000154469,0.000463406,0.000154469
4,8.88386,0.52132,2.27483,5.52799,0.00339,11.1288,0.00701,0.19791,0.01976,0.01875,0.00704,0.21831,0.01829,0.01623,0.54767,2.18382,3.47596,0.00306,0,0.000626837,0.000208946,0.000626837,0.000208946,0.000626837,0.000208946,0.000626837,0.000208946
5,11.0004,0.46969,2.36215,5.74367,0.00336,9.99131,0.00522,0.19791,0.01707,0.01617,0.00565,0.24624,0.01811,0.01561,0.53501,2.10408,3.47973,0.00293,0,0.000790204,0.000263401,0.000790204,0.000263401,0.000790204,0.000263401,0.000790204,0.000263401
6,13.1122,0.46222,1.95846,6.06604,0.00346,8.58119,0.00609,0.25376,0.01804,0.01629,0.00612,0.27417,0.02237,0.01528,0.5422,2.02292,3.4839,0.00291,0,0.000953505,0.000317835,0.000953505,0.000317835,0.000953505,0.000317835,0.000953505,0.000317835
7,15.2198,0.44163,2.03678,5.85521,0.00336,6.92618,0.00471,0.25376,0.01988,0.01822,0.00474,0.27417,0.0244,0.01731,0.54643,1.68281,3.52071,0.00297,0,0.00111674,0.000372247,0.00111674,0.000372247,0.00111674,0.000372247,0.00111674,0.000372247
8,17.4514,0.46355,2.06456,5.82989,0.00325,5.25272,0.02602,0.34815,0.04131,0.03261,0.01646,0.38679,0.0374,0.02929,0.55443,1.51766,3.55612,0.00316,0,0.00127991,0.000426638,0.00127991,0.000426638,0.00127991,0.000426638,0.00127991,0.000426638
9,19.5882,0.45294,1.65863,5.92217,0.00339,4.25184,0.01403,0.39713,0.04688,0.03796,0.01471,0.55438,0.0461,0.0376,0.54113,1.56023,3.62698,0.00308,0,0.00144302,0.000481007,0.00144302,0.000481007,0.00144302,0.000481007,0.00144302,0.000481007
10,21.4753,0.44658,1.78769,5.40111,0.00302,4.00643,0.01606,0.63284,0.05816,0.04785,0.01644,0.64723,0.05529,0.04501,0.54239,1.29502,3.64465,0.00306,0,0.00160606,0.000535354,0.00160606,0.000535354,0.00160606,0.000535354,0.00160606,0.000535354
